CHARACTER	DIALOGUE
KEPHEUS	With our daughter's future at stake, we do not bestow trust easily. If any harm should come to her -- Amoun reacts, but it is too late -- Thoth has been Suddenly, the WALLS GROAN, compressing with an AWFUL The golden marbles on a tabletop roll from their pits and The Princessa shall not be harmed.
AMOUN	Your Majesty... Of course... of course your word is unquestioned here. Thoth's demeanor changes. The marbles spill off the
KEPHEUS	Where is the lucky young suitor? As the net passes we see -- ANTEROS, a hapless young fisherman, his legs entangled in PERSEUS, 25, wiry, bronzed from the sun, a stubbled jaw, Perseus swims INTO VIEW and uses his knife to cut the net One more slice and the shark zooms out of the net, Then, gruffly --
SPYROS	Your grieving does Anteros no good. It comforts only you.
PERSEUS	It's my fault he's gone.
SPYROS	He was careless with the net. Perseus gives him a hard look.
PERSEUS	So it's his fault. Not mine, not fate, not the Gods? The Gods delude themselves about their power and watch in envy while we act. We make our own history.
PERSEUS	Now my history is I let my friend die in my arms. I made it back, why couldn't he?
SPYROS	What you do, no other man can do. Have you not noticed?
PERSEUS	To what purpose? I failed him. Purpose! Looking for purpose is what ensnares men in the superstition of the Gods, as surely as your friend was caught in that net. And all the searching leads down to the same place. The trawler is approaching its home island, Seriphos.
PERSEUS	You always say that my abilities are greater than other men's. But they were not enough to save him.
SPYROS	You are still a man, confined by man's limits. You are just as likely to fail as succeed.
PERSEUS	How is that greater than other men?
SPYROS	Ordinary men fail most of the time. The trawler rounds a point on the island. Perseus spies a beautiful girl on the cliff. A closer
LOOK --	A huntress; a pagan leather bandeau hugs her lithe figure. Flowers in her golden hair -- wilted dahlias. She watches Perseus intently as the boat passes. He
TEKLA	Mother wants you to come in for supper. Perseus, why are you so sad? This breaks his spell. He looks at Tekla warmly, gets up
TEKLA	I still don't understand.
SPYROS	Your mother can explain. She believes everything has an explanation, even if we have to make it up. It's one of the reasons I love you, Marmara.
TEKLA	Tell me! Why is there war between Man and the Gods? Marmara and Tekla continue to bring out the food.
MARMARA	At the beginning of time, when Man was young, he prayed to the Gods. His belief in the Gods gave his life meaning. It was a good thing.
SPYROS	If you consider superstition, fear and darkness good things... But Man grew, as children do, and he turned away from the Gods. Be began to put his faith in other things. Perseus watches the debate with fiery eyes.
TEKLA	What things?
SPYROS	Learning, science... love. self-determination! Those things that give Man dignity and independence.
MARMARA	But what of the Gods, who had protected and guided us so long? survive. They hunger for
SPYROS	-- as lions hunger for blood.
MARMARA	Spyros! Your father's mind is closed on these matters.
SPYROS	The Gods were desperate to claim our awe again.
TEKLA	Desperate... the Gods?
SPYROS	Yes, even the Gods. If they could not earn our faith with love, they would demand it with fear. Whatever was necessary to ensure L their continued existence. Marmara and the wide-eyed Tekla sit down.
