CHARACTER	DIALOGUE
HUMMEL	Yes, Captain. And I plan on conducting my own defense. it will make the O.J. Simpson trial look like an episode of "Perry Mason." Take
GENERAL KRAMER	Last night Hummel and eleven marines, under the guise of a security exercise, walked off with fifteen V.X. rockets. It wasn't
GENERAL KRAMER	Here he is in Vietnam - I think a Major at the time.
HAYDEN SINCLAIR	Four tours in Vietnam, Grenada, Panama, Desert Storm. Three purple hearts... two silver stars and... the Congressional Medal of... Jesus. The man is a hero.
GENERAL KRAMER	A legend. During Tet he held off a brigade of V.C. single-handedly. Saved his whole company. Hence the nickname "gunfighter."
F.B.I. DIRECTOR WOMACK	What was this book Hummel wrote on Vietnam? Anybody read it?
RAYDEN SINCLAIR	No. Give me the skinny.
GENERAL KRAMER	The "skinny," Mr. Sinclair, is that the U.S. should have either won the war or gotten the hell out of Vietnam and stopped wasting
NAVAL ATTACHE	General, it's him. The call connects to a phone on the table.
GENERAL KRAMER	Frank, this is Albert Kramer.
HUMMEL	Hello Al. Howlre Judy and the kids?
GENERAL KRAMER	They're fine. I'm with General Peterson, F.B.I. Director Womack, Chief of Staff Sinclair, Security Advisor Lindstrom, and C.I.A. Director Amway. You've got a lot of people worried, Frank. Can you help us out?
HUMMEL	I'll come straight to the point, General Kramer: Eighty-three Force Reconnaissance Marines have died under my various commands.
HAYDEN SINCLAIR	Southern China? We never admitted we sent troops into China.
HUMMEL	Who is that. Identify yourself.
HAYDEN SINCLAIR	White House Chief of Staff Sinclair, General.
HUMMEL	How old are you, white House Chief of Staff Sinclair.
RAYDEN SINCLAIR	I'm thirty-three.
HUMMEL	Well White House Chief of Staff Sinclair, by your ninth birthday
NAVAL ATTACHE	The President calling from Moscow.
GENERAL KRAMER	Continue Frank.
HUMMEL	Eighteen others died in covert, illegal operations in Chile and Baghdad when the conflict ended - and let's not even mention Mogadishu, gentlemen. No benefits were paid to their families; no medals conferred. These men died for their country and they weren't even given This situation will not stand: you will transfer 100 million dollars from a Grand Cayman "Red Sea Trading reparations of one million dollars will be paid to each of the 83 marines, families. The rest of the money will pay for my outfit's
F.B.I. DIRECTOR WOMACK	Except for the Red Sea Trading Company. What is that?
HUMMEL	Identify yourself.
F.B.I. DIRECTOR WOMACK	F.B.I. Director Womack, General.
HUMMEL	You'll be particularly interested: It's a slush fund where the Pentagon keeps proceeds from illegal arms sales.
GENERAL KRAMER	Frank, Jesus, this is classified information.
WOMACK	Is this true?
HUMMEL	If you want the money back, you'll have to tell the attorney General and the boys down at Justice where it came from. Good luck.
HAYDEN SINCLAIR	General, I've just spoken to the President and he is clear as hell on this: We will not negotiate with you and we do not care if ...
HUMMEL	Someone please gag that man. Alert the media, I launch the gas. Refuse payment, I launch the gas.
GENERAL KRAMER	What's the potential casualty rate of a single rocket armed with V.X., General Peterson?
GENERAL PETERSON	In a dense urban area, sixty, seventy ...
RAYDEN SINCLAIR	Well that's not so bad ...
I GENERAL PETERSON	Thousand. Seventy thousand. Dead. one teaspoon will kill all living organisms in a three story office building. Get the
F.B.I. DIRECTOR WOMACK	What did Hummel mean by ",standard countermeasure," General?
GENERAL PETERSON	Napalm. Standard pgison gas can be neutralized by napalm. It burns it up -- consumes it upon detonation. The problem is that V.X. gas is ten times more toxic and designed to withstand napalm. 'Course he does. "Willy Peter," short for "White Phosphorous Incendiary Device," still That explains Hummells time frame. He knows we're not operational. What would it take, General?
GENERAL PETERSON	To equip a flight of F-16s with Willy Peter in 36 hours? An act of God. All right, we can try. But view the use of Willy Peter as a secondary initiative.
GENERAL KRAMER	Send in S.E.A.L. Team Leader Anderson. (to F.B.I. Womack) Who's your
AGENT WOOD	I'll find out.
F.B.I. DIRECTOR WOMACK	Tell him to pack a bag for San Francisco.
CARLA	Don't stop... do no stop.
GOODSPEED	Shit, shit, shit what time is it. Hello. I'll be downstairs in ten minutes.
GOODSPEED	I've got to go to San Francisco. No. I'm sorry, but NO. I need you here with me. We need to talk about this...
GOODSPEED	I've got to go. She grabs his arm. I can't... I cannot deal with this right now ... (softly) Bill, I am very Catholic.
GOODSPEED	I love you. I will marry you. I just didn't plan on this, that's all. Tell you what: come to San Francisco.
CARLA	Really? Really?
GOODSPEED	It's probably just a training exercise. Check into a hotel, order up some champagne, I'll finish up my business and ...
CARLA	... We'll finish what we started. Baby, are you sexy in those boots ... A precision night drop is out due to the full moon. Likewise on a frontal, seaside attack: at the first shot, Hummel might The idea is to penetrate the tunnels under the prison, undetected, emerge in its center, and jump the marines from behind - intelligence.
GENERAL KRAMER	You've studied the architectural plans.
