CHARACTER	DIALOGUE
RACHEL	"On the evening of the 31st of December, it began to rain more heavily. So isolated had they become from the outside world that it was only when she looked out of the window that Rachel remembered it was New Year's Eve... Her training kicking in, Rachel uses a krav magah move to Vogel begins to run, but, driven by adrenaline and FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 12. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 13.
RACHEL	He's driving too fast. This is ridiculous. What's so important? Tell me where we're going?
STEPHAN	We're going to David's apartment.
RACHEL	David...?
STEPHAN	I keep track of people Rachel. It's my job. (Beat) I know he came to see you yesterday.
RACHEL	What's this? The jealous ex- husband or the intelligence officer? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 14.
STEPHAN	A little of both. What did he want?
RACHEL	Fuck you.
STEPHAN	What did he tell you?
RACHEL	He didn't tell me anything. (Off his look) He didn't! He told me where he'd been travelling, that he'd been teaching... We spoke for a few minutes and then I had to go. If you don't believe me ask him yourself. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 15. RACHEL Why did he do it? movements. She turns to look at it with disgust, KNOWING WHAT IT IS.
STEPHAN	My car's waiting outside. It can take you to the airport. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 17. The passport is slid back across the counter and we find
DAVID	How was your trip?
RACHEL	Fine. Everyone sends their love.
DAVID	You've cut your hair. Finally...
DAVID	I'm David.
RACHEL	Rachel.
RACHEL	Where do I sleep?
STEPHAN	You're in my room.
STEPHAN (CONT'D)	You're at the end there.
STEPHAN	What do you think of your new wife?
DAVID	Too young.
STEPHAN	Pretty. You didn't notice.
STEPHAN (CONT'D)	You know what I've noticed? You don't notice women. I've noticed that. How long have I known you?
DAVID	I don't know.
STEPHAN	Two years. All the places we've been to. You don't look at women. Before I get into that bed, is there anything you have to tell me?
STEPHAN	Well, well...I think he just noticed. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 21.
STEPHAN	Yes? Now an attack from behind.
STEPHAN (CONT'D)	Where have you come from?
RACHEL	Argentina.
STEPHAN	Really? Whereabouts?
RACHEL	Cordoba.
STEPHAN	What were you doing there?
RACHEL	My husband is an Industrial Chemist.
STEPHAN	He does look like a chemist.
STEPHAN (CONT'D)	She's not going to fucking break, David. Move. What were you doing before this? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 22.
RACHEL	Before Argentina we lived in Hungary where my husband studied...
RACHEL (CONT'D)	Oh...Liaison.
STEPHAN	And what did you do in Liaison?
RACHEL	Translator.
STEPHAN	So, first time in the field. Rachel feels herself blush a little angrily. Stephan grabs
STEPHAN (CONT'D)	Good. That's...good.
DAVID	Welcome to Metsada. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 23.
DAVID	I'll be waiting for you.
RACHEL	I won't...be long. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 24.
NURSE	Frau Roget?
VOGEL	Good morning, Frau Roget. I'm Doctor Bernhardt.
RACHEL	Good morning, doctor.
VOGEL	Alright now, just relax. We're going to do a little examination. If you feel at all uncomfortable, you just say. Alright? SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 25.
VOGEL (CONT'D)	Alright, this is my hand... and this is the speculum. It's going to feel cold. Can I ask how old you are?
RACHEL	Twenty five.
VOGEL	And how long have you and your husband been trying for a baby? RACHEL Nearly two years.
VOGEL	Uhuh. Well, the ovaries look fine. Alright, let's see... your cervix is slightly retroverted. Tilted backwards?
RACHEL	Really? The angle from which we next see VOGEL, and the way the
VOGEL	Mmm. But that generally shouldn't affect fertility.
RACHEL	Oh, good.
VOGEL	You have a slight accent, Frau Roget. Where are you from?
RACHEL	Argentina. We just moved here... A few months ago. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 26.
VOGEL	Whereabouts in Argentina? Buenos Aires?
VOGEL (CONT'D)	Oh, Buenos Aires. Beautiful. I went once, when I was young. We went to the Opera house I remember. What's it called again?
RACHEL	Teatro Colon. He turns back to her, holding a swab, the warm smile.
VOGEL	That's right. Beautiful. This might sting a little, dear.
VOGEL (CONT'D)	I'm sorry. Now, there's a couple of tests we need to run, make sure there are no problems. Is that alright? Brave girl. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 27.
STEPHAN	So. Everything...?
RACHEL	Next appointment is on Wednesday. But then Rachel lets go and walks off towards the toilets.
SMARTLY DRESSED MAN	Vielen dank!
STEPHAN	Bitte sehr.
STEPHAN	One, two, three, four, five, six... It's a ghost station... DAVID West Berlin trains pass through East Berlin on this track, but don't stop.
STEPHAN	Usually.
DAVID (V.O.)	The station's guarded at all times... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 29.
DAVID	...and the stairs to the platform are sealed off. Our train driver makes an unscheduled stop on the near track. The last two carriages will be around...
STEPHAN	...here. And they will be empty. Once that train has stopped, the guards won't be able to see this fence. And on the other side of the fence is...
STEPHAN (V.O.)	...a postal depot.
STEPHAN (V.O.)	The vans come and go all day long.
DAVID	We're just one more parcel. Once we're in West Berlin there'll be transport to Templehof airbase and a private charter.
STEPHAN	That's the wrapping. Now all we need is the present. Rachel realises both men are looking at her.
RACHEL	Try this on. How does it feel? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 31.
STEPHAN	Nice. Here you are, Mossad agent, all those years of training, the highest levels of marksmanship and krav magah, first big mission...sewing.
RACHEL	Black belt in dressmaking. STEPHAN I never argue with an armed woman.
RACHEL	What is it?
DAVID	It doesn't have a name.
STEPHAN	Shit.
DAVID	Now it does. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 32. It's my birthday.
RACHEL	Uh, at ten - study the Mishnah, at fifteen - study the Talmud. By eighteen - stand under the wedding canopy... STEPHAN We're too late for all of those.
RACHEL	Uh...twenty. In your twenties you are to "pursue your life's goals."
STEPHAN	What are you pursuing Rachel? Rachel thinks about it, shrugs.
RACHEL	I don't know. I'm waiting to find out.
STEPHAN	Youth...
RACHEL	What about you, grandfather? Have you got a goal?
STEPHAN	Oh yes. We believe in goals in my family. We're very driven men. My father was Director of Collections by the time he was fifty. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 33.
RACHEL	So what's your goal?
STEPHAN	Director of Collections by forty.
RACHEL	What about you David. What "life goal" are you pursuing?
DAVID	This is it.
RACHEL	This is it? This is all you want?
RACHEL	Seriously, what do you want out of life?
DAVID	I want this. I want to get Vogel. I want him to be put on trial and I want the world to watch so everyone knows what he did. I want them all to know the truth.
DAVID	And...I want another drink.
STEPHAN	Forget about it.
RACHEL	Forget about what? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 34.
STEPHAN	I've spent two years with him, and I don't know him. Nobody knows him. He's alone.
RACHEL	What about family?
RACHEL (CONT'D)	All of them?
STEPHAN (O.S.)	All of them.
STEPHAN (CONT'D)	Maybe it's not always a blessing to survive. STEPHAN Vielen dank!
SMARTLY DRESSED MAN	Bitte sehr.
VOGEL	This is my hand. This is the speculum. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 35.
VOGEL (CONT'D)	How did you find me?
RACHEL	What?
VOGEL	Who told you about me?
RACHEL	Who... told us?
VOGEL	Were you referred by a doctor, or...?
RACHEL	Oh, Doctor Eisenberg.
VOGEL	Ah-ha. How is the old Jew?
RACHEL	Very good.
VOGEL	Any history of infertility in your family Frau Roget? RACHEL No.
VOGEL	Are your periods irregular?
RACHEL	Yes.
VOGEL	Yes. I think we've found the problem.
VOGEL (CONT'D)	It's very common. Your ovarian follicles...well, inside you're still immature. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 36.
VOGEL (CONT'D)	We need to help you with this. There's something we can use, a little injection. Do you want to proceed?
VOGEL (CONT'D)	How many brothers and sisters do you have?
RACHEL	None.
VOGEL	An only child?
VOGEL (CONT'D)	And yet you say there's no family history of fertility problems?
RACHEL	I lost my mother in the war.
DAVID	Are you alright?
STEPHAN	Identity is confirmed. We have a green light. David looks at her as Rachel spreads her hair around her
DAVID	It's a brave thing you're doing.
RACHEL	I'm not brave. I'm terrified.
DAVID	But you're doing it anyway. Because you know how important it is. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 38.
DAVID	You're very brave.
RACHEL	David...
STEPHAN	It's whiskey.
STEPHAN (CONT'D)	You're so beautiful...
VOGEL	Alright, this is my hand. And this is the speculum.
RACHEL	Okay.
VOGEL	You had intercourse last night?
RACHEL	Yes.
VOGEL	Good. You're at the most fertile stage of your cycle. This is very good timing.
VOGEL (CONT'D)	I think we are going to see results. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 40.
VOGEL (CONT'D)	All you have to do is have faith. Ask any of my patients.
RACHEL	What about your patients in Birkenau...?
RACHEL (CONT'D)	Help!
RACHEL (CONT'D)	He collapsed!
NURSE	My God! What happened?!
RACHEL	I don't know! I don't know! He just clutched his chest and collapsed!
NURSE	I need an ambulance! Karl-Gustav- Strasse. The clinic. My husband has had a heart attack.
EMERGENCY OPERATOR (O.S.)	Your name please?
NURSE	It's Frau Bernhardt, please, please hurry!
EMERGENCY OPERATOR (O.S.)	The ambulance is already on the way, madam.
HIGH SHOT	As Stephan races up some steps, along a balcony, and into FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 42.
NURSE	Oh god! Come on, come on! Hurry!
RACHEL	They're here. Stay with him. I'll go and get them... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 43. hospital. He and David open up the stretcher and transfer Vogel to it
NURSE	Oh God!
STEPHAN	He's going to be alright.
DAVID	I'm sorry, Madam, but you'll need to meet us at the hospital.
NURSE	But... I want to travel with him.
DAVID	Not possible I'm afraid. New regulations. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 44.
RACHEL	Don't worry, he's in good hands now. He's going to be fine.
NURSE	Thank you...thank you.
RACHEL	You should get your things, go to the hospital to meet him.
STEPHAN	I know, I know. David checks his watch, holds up a single finger to FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 46.
STEPHAN	One, two, three, four, five, six...
STEPHAN	Twenty, twenty one, twenty two... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 47. Do you have a light?
WORKER	You new?
RACHEL	First shift. The girls said it was okay to come out for a smoke....
WORKER	Yeah, it's okay. Are you working until midnight?
RACHEL	Yes.
WORKER	After the late shift most of us go to the Vetter. Do you know it?
WORKER	...it's just on the corner. You should come along. They're almost there.
DRIVER	There's something on the tracks up here! FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 49.
RACHEL	Well, maybe I'll see you there? I finish in half an hour. Why don't you go and get me a drink ready?
WORKER	Half an hour then. Stephan and David turn back to the van.
WORKER	What was that...? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 50.
DAVID	Fuck.
RACHEL	I think it came from over here?
WORKER	No, it was one of those...
BORDER GUARD (O.S.)	Stay where you are!
BORDER GUARD	There's nothing there. Get moving now!
FIRST GUARD	What are you doing here?
RACHEL	I work here. I'm on a break.
FIRST GUARD	Show me your papers, both of you.
STEPHAN	We have to go!
STEPHAN	We can make it. Help me with him...
FIRST GUARD	You can go.
STEPHAN	We're going! Now! FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 52.
DAVID	Not without her.
SECOND GUARD	Hey! Over here! Another guard hits an ALARM. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 53.
STEPHAN	Down! FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 54.
STEPHAN	Is he dead? (Beat) Is he dead?
RACHEL	Who?
STEPHAN	The Guard! The one who saw your face! Is he dead? RACHEL No.
STEPHAN	How did he come round? How the fuck did he come round? You gave him the full injection?
STEPHAN	Did you give him the...
RACHEL	I don't know! I thought I... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 55.
STEPHAN	Jesus Christ!
STEPHAN	We could have gone!
DAVID	It's not over.
STEPHEN	We could have fucking...!
DAVID	WE STILL HAVE HIM! IT'S NOT OVER! We still have him. A key scrapes and Rachel turns to the door as Stephan and
RACHEL	What did he say?
RACHEL	You made contact?
RACHEL	What did he say? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 56.
DAVID	It's going to take time. They need to open up a new route, they need to find political help. Maybe the Americans. Two weeks... maybe three.
DAVID	We work four shifts guarding him. We feed him at the end of each shift. We never leave him alone.
STEPHAN	And you're compromised. You don't leave the fucking house.
DAVID	We can do this. We just need to stay focussed.
VOGEL	.....Fucking assholes! Fucking pig shit food! Fuck you! Fuck you! Fuck... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 57.
DAVID	At this rate he's going to starve himself to death before we can get him back.
VOGEL	My wife.
VOGEL (CONT'D)	Is she hurt? Is she alright?
VOGEL (CONT'D)	Please? Tell me she's alright.
STEPHAN	You can't talk to him.
RACHEL	I didn't say anything.
STEPHAN	You can't listen to him.
RACHEL	I know. I just...
STEPHAN	I'm not angry -
STEPHAN (CONT'D)	- I'm just telling you - we don't talk to him. We don't listen to him. He isn't there. He isn't a human being. He...
STEPHAN (CONT'D)	We have a date. Ten days time. The Americans are going to help.
RACHEL	Good. Rachel walks out of the bathroom and into her bedroom, for
STEPHAN	Fuck!
VOGEL	Why don't you just kill me now?
VOGEL (CONT'D)	How can you keep me waiting to die like this!
VOGEL	I know what you want. You want to hand me over to the others, let there be some fucking sham of a trial. Then, when they kill me, you can tell yourself that there was no blood on your hands. But that isn't true. There will be blood on your hands. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 61.
VOGEL (CONT'D)	You will be my murderer! You fucking hypocrite. You fucking...
VOGEL (CONT'D)	Yes. Do it. You want to do it...
VOGEL (CONT'D)	That's right. I'd forgotten. You Jews never knew how to kill. Only how to die. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 62.
VOGEL	I was dreaming about my wife.
VOGEL (CONT'D)	One of the great regrets of my life is that we were unable to have children. My wife would have made a wonderful mother.
VOGEL (CONT'D)	It's a great blessing. Rachel stares at him.
VOGEL (CONT'D)	You should try lemons. For the morning sickness.
VOGEL (CONT'D)	They say it helps.
VOGEL (CONT'D)	What's your name? (Beat) Sarah? You Jews stay close to your roots, don't you? It's a good thing. Very good. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 63.
VOGEL (CONT'D)	I loved the bible as a child. Retribution. Higher justice.
VOGEL (CONT'D)	Yes. I understand you perfectly. (Beat) You weren't lying at the clinic when you told me about your mother were you? About her death?
VOGEL (CONT'D)	I'm very sorry for your loss. It almost takes her breath away. She tears the tape and
DAVID	What happened? What's the matter?
RACHEL	Nothing. He...nothing.
RACHEL (CONT'D)	He can understand us.
DAVID	What?
RACHEL	He can understand every word we're saying. He just spoke to me. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 64.
DAVID	It's alright. It's alright. It's nearly over.
RACHEL	Why didn't you go? At the station. You could have got away. Why didn't you? There is a sudden scratch of a key at the front door and,
RACHEL (CONT'D)	What did they say?
DAVID	Stephan? STEPHAN It's not happening.
DAVID	What the fuck does that mean?
STEPHAN	The Americans have pulled out. (To Rachel) Has he been fed?
DAVID	So...so what does that mean?
RACHEL	Oh God... SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 65.
STEPHAN	Did you feed him?
DAVID	What does that mean? What's the plan now?
RACHEL	We just need to get him to the airfield, there must be some other way, some...
STEPHAN	I said has he...? DAVID I'm asking you...
STEPHAN	I'm talking to her! Supposedly it's her shift now, but instead be doing she's out here with you! fucking question: Did you feed him?
RACHEL	YES! I fed him!
STEPHAN	There's no plan. There's no fucking plan. They said the operation is being "re- evaluated."
STEPHAN	You know what that means? They're going to cut us loose. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 66.
STEPHAN	It's a fucking mess and they're backing away from it quickly as they can. No.
STEPHAN	It's happening. I can feel it.
RACHEL	They can't just leave us!
STEPHAN	Yes they can! Because we fucked it all up! We fucked it all up and now we're on our own!
DAVID	Were you followed? Could you have been...?
RACHEL	Stephan? Stephan is hurriedly screwing the SILENCER onto the GUN.
RACHEL (CONT'D)	Stephan! What are you doing?
STEPHAN	If it's them, he dies. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 67.
STEPHAN (CONT'D)	Move.
DAVID	You're not doing this.
STEPHAN	He's not getting away from me.
DAVID	This isn't the mission.
STEPHAN	I decide what the mission is! If I say he dies, he dies.
DAVID	We're finishing this mission. We're taking him back.
STEPHAN	Get out of the way!
STEPHAN	Rachel. Rachel! The two men stand frozen, listening. Vogel lies, breathing
RACHEL	It was the lady from the bottom apartment. She invited us to her New Year's Eve party. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 68. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 69.
DAVID	What are you doing?
STEPHAN	It's your shift.
DAVID	Did you know about this?
RACHEL	About what?
DAVID	His mouth's taped. You want him to suffocate?
STEPHAN	I was sick of seeing his face. Go back in. DAVID Don't do that again.
STEPHAN	You don't give orders David. It's your shift now so you can go back in there...
RACHEL	Stop it! FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 70.
DAVID	We're not animals. Just remember what we are. Remember what we're not. DAVID What are you doing?
RACHEL	I have to get out.
DAVID	Rachel... RACHEL Get out of my way, please. I'm just going to go out for a few minutes. That's all I want to do.
DAVID	She wants to go out.
RACHEL	No one will see me. Tell him, David. I just want to walk. I just want to get some...air. Please. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 71.
STEPHAN	Don't be stupid.
RACHEL	GET OFF ME!
VOGEL	Thank you. David.
David doesn't react.	Vogel hums a tune to himself in between spoonfuls, watching David and Stephan and Rachel...
VOGEL (CONT'D)	If I had a choice I'd prefer Rachel to feed me. So gentle...in another life, the makings of a Nurse, I think...in another life...
VOGEL (CONT'D)	How is she today? SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 72.
VOGEL (CONT'D)	You should let her get more rest. It's a dangerous time, the first month or two of the pregnancy.
VOGEL (CONT'D)	You didn't know?
VOGEL (CONT'D)	You're not the father then? (Beat)I thought it would be you. I thought...I don't know. The way you look at her. The way she looks at you...
VOGEL (CONT'D)	Women can be like that, they like to make you dance first, I remember. (As though to himself) So, she chose the other one...?
VOGEL (CONT'D)	That must be hard, watching them together, right in front of you. And you not saying a word. Like the Poet says - "Great souls suffer in silence." I wouldn't have taken Stephan as a family man. Too ambitious, too...? Whereas you? David, I see you with children...
DAVID	Shut up.
VOGEL	I am expressing my sympathy. For your suffering.
DAVID	What does a monster like you know about suffering? SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 73.
VOGEL	I'm a doctor, David.
DAVID	A doctor. (beat)You blind children trying to change the colour of their eyes. You inject people with petrol. You...you replace people's hands and legs and you watch as they...
DAVID (CONT'D)	This isn't medicine. This is disease. This is sickness. VOGEL So we were all insane? Is that the answer?
DAVID	There's no answer. I'm not looking for an answer. I'm not looking for...
VOGEL	You're trembling.
VOGEL (CONT'D)	It's strange. Here I am - the victim, kidnapped, bound, soon to be murdered, but I think you are the one that is afraid, David. (Beat) Afraid of the monster.
VOGEL (CONT'D)	Boo. Yes. Do you know why it was easy to exterminate you people? Your weakness. I saw it. Every day I saw it. Every one of them, thinking only of how to avoid being flogged, or kicked, or killed. Only thinking of themselves. Why do you think it only took four soldiers to lead a thousand people to the gas chambers? Entire families? Because not one, out of thousands, had the courage to resist, the courage to be the first to fall. Not one would sacrifice himself. Even when we took their children from them. I knew then that you people had no right to live, no right to...
STEPHAN	Out. We're going out. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 75.
STEPHAN (CONT'D)	Are you going to be alright?
VOGEL	Thank you...
STEPHAN	Nothing. Not a trace. Nothing at all. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 78.
STEPHAN (CONT'D)	He might go to the house, might try and get a message to the wife...
DAVID	He's not going back to the house. He's gone. Fifteen years, it took them to find him. And he's gone. And no-one's going to find him again.
STEPHAN	So we what? We...are you going to make the phone call? Are you going to tell them how he got a fucking piece of broken bowl? Wonderful. But don't try and take me down with you. I've done nothing wrong. Remember that!
STEPHAN (CONT'D)	This can't happen! This is never going to go away.
RACHEL	I take responsibility. It was my shift. DAVID This happened because of me. I let him go. And no-one's ever going to find him again.
STEPHAN	No-one's ever going to find him again.
STEPHAN (CONT'D)	What if he didn't escape? SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 79.
RACHEL	What are you talking about?
STEPHAN	Only four people know what happened in this room. Us, and him. And he's not talking. No one will ever hear from him again.
RACHEL	No. happened here.
RACHEL	He escaped. STEPHAN That's the truth. But that doesn't have to be the truth we take home. The truth can be anything we want it to be. The truth is Vogel tried to escape, you struggled with him and got hurt. The truth is, seconds before he got away, Rachel got the gun and shot him. The truth is we got rid of him.... got rid of the body... got rid of every trace of the Surgeon of Birkenau.
RACHEL	We can't lie about this!
STEPHAN	No, you know what? We have to. We have to! This is...this isn't about us. This is about Israel. This is a national humiliation! We can't be seen to fail. And in the end, Vogel rots away his life in some jungle, looking over his shoulder, waiting for the bullet...? Who's to say...? Maybe that's a worse fate. Maybe that's...The important thing is justice... justice is seen to be done! SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 80.
DAVID	He's gone. What does it matter?(Beat) He's gone.
STEPHAN	He's right. It makes no difference. No difference. All we have to agree is that we never talk about this. No matter what happens, we never tell anyone. The truth stays in this room. Between us. Agreed? Rachel looks at David again, wanting some kind of sign.
STEPHAN (CONT'D)	Agreed? Say it. (Silence) I need to hear you say it!
STEPHAN (CONT'D)	Say it. Say...
DAVID	Agreed. Silence. Rachel closes her eyes. Instead of relief she
RACHEL	David...?
STEPHAN	Rachel? Say it. It's an oath. Say it.
REVELLERS (O.S.)	...vier, drei, zwei, ein! FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 81.
RACHEL	How could this happen? You said he would never speak! You said he'd never...
STEPHAN	We don't know it's him.
RACHEL	Oh God! Oh God!
STEPHAN	If you read it...
RACHEL	He's alive! He's in the Ukraine! What else is there to read? STEPHAN This is a little internet story. reading)..."a psychiatric patient claiming to be the Surgeon of Birkenau..." Some crazy old man. No-one is paying this any attention. Yet.
RACHEL	How did you find it?
STEPHAN	David comes back after all this time, I want to know why. I had his apartment searched. This was on his computer... SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 81A. He didn't say anything to you last night..? Rachel..?
RACHEL	No! SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 82.
RACHEL (CONT'D)	Why would he do this..?
STEPHAN	Because he couldn't handle it. I told him we had to deal with it and he couldn't handle it. He thought it was all going to come out and he panicked...
RACHEL	Deal with it? (Beat) What does that mean? Deal with it? What did you tell him to do?
STEPHAN	I told him to find Vogel. I told him to finish it.
RACHEL	Did you know he'd been ill? Did you...? You knew, didn't you? You killed him. YOU killed him! You knew he wasn't strong enough...
STEPHAN	FUCK DAVID! I don't want to hear about David! David took the coward's way out!
RACHEL	You could have left it alone! It's an old man in a hospital! You said - nobody will believe it! No-one will notice!
STEPHAN	There's a journalist. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 83. A Ukrainian. He's heard about it and he's going to interview Vogel. (Beat) Then it all comes apart. (Beat) We don't have the name of the hospital. You have to find out where he is.
RACHEL	What are you talking about?
STEPHAN	David's taken himself out of the I can't do it. You're the only one left.
RACHEL	Are you insane? STEPHAN We can't...
RACHEL	I'm not...Look at me! I'm not capable of...This is insane. I can't do this.
STEPHAN	You have to, Rachel. Because for thirty years you've been taking the credit for it. (Beat, carefully) And there's Sarah. It's as if he's struck her. Beat.
RACHEL	I won't do this. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 84. about her movements.
RACHEL	I always knew this would happen. I knew we'd be punished. I knew we'd have to pay.
STEPHAN	I thought I'd already been punished.
RACHEL	God doesn't plant car bombs.
STEPHAN	I wasn't referring to the wheelchair.
STEPHAN (CONT'D)	If I could go back, Rachel, I'd change it all. If I could give you back a chance to be happy, to be... SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 85. But there's one thing I would never change.
RACHEL	She isn't going to find out.
RACHEL (CONT'D)	She can never find out. He takes out the envelope and slides it across the table
STEPHAN	My car's waiting outside. It can take you to the airport. She looks down to Sarah, raises a hand in farewell.
