CHARACTER	DIALOGUE
ALEIGH	I'm just returned from the New World, majesty. I have claimed the fertile coast in your name, and called it Virginia, in honour of our Virgin Queen.
ELIZABETH	Virginia? And if I marry? Will you change the name to Conjugia?
RALEIGH	I ask for your gracious permission, majesty, to return to the New World with your royal warrant, to found a colony under the laws and protections of England.
	lizabeth's eye has fallen on the native Americans.
ELIZABETH	Who are they?
RALEIGH	Americans, majesty. They long to be your newest subjects.
ELIZABETH	Have they no ruler of their own?
RALEIGH	None to match England's Queen.
ELIZABETH	These gentlemen are welcome. See that they're treated well.
RALEIGH	I also come bearing gifts for your majesty, from the New World.
DON GUERAU	The fruits of piracy, majesty. The true property of the realm of Spain.
ELIZABETH	Let's see, shall we? What do you bring me?
RALEIGH	Mud, and leaves. May 1 Blue Draft - p.22
ELIZABETH	Mud and leaves?
RALEIGH	Patata, majesty. You eat it. Very nourishing.
ALEIGH	Tobacco. You breathe its smoke. Very stimulating.
DON GUERAU	Forgive me, majesty, I find the air has become stale. I am sensitive to the smell of open sewers.
ELIZABETH	Continue.
RALEIGH	Gold. You spend it. Very satisfying.
RALEIGH	Courtesy of a Spanish ship, that found itself unable to complete its journey.
ELIZABETH	The fruits of piracy after all, it seems.
RALEIGH	Philip of Spain is no friend of England, majesty. The more gold I take from him, the safer you will be.
ELIZABETH	Well, well. A political pirate. A logic-chopping pirate.
RALEIGH	And your majesty's most loyal subject.
ELIZABETH	But not my best dressed. elcome home, Mr Raleigh. Raleigh comes out into the hallway with Calley by his side. What did you think of her?
CALLEY	Terrifying. RALEIGH But magnificent. He moves on. The doors to the privy chamber open and the Queen's ladies
MARGARET	`Mud and leaves'! I nearly died! B
ESS	`Patata! You eat it!'
MARGARET	She liked him. I could tell.
BESS	Well, wouldn't you?
RALEIGH	I'm glad to have the opportunity to thank you. Without your help, I'd still be in outer darkness.
BESS	I did very little, sir. You'd already caught the Queen's eye.
RALEIGH	Then I thank you for the very little.
AVAGE	Salve regina, mater misericordiae, vita dulcedo et spes nostra salve... His weakness endangers us all. He can't go on with us. And we can't leave him behind.
RESTON	Who will help him?
SAVAGE	Ad te clamamus, exsulaes filii Evae. Ad te suspiramus gementes et flentes in hac lacrimarum valle -
BABINGTON	Make your peace with God.
SAVAGE	No, Tom! Don't kill me! I don't want to die!
RESTON	Si ambulam in medio umbrae mortis, non timebo mala -
RESTON AND OTHERS	Quoniam tu mecum es, Domine. Virga tua et baculus tuus, ipsa me consolata sunt - ANG! Savage falls dead. May 1 Blue Draft - p.26 Walsingham enters his private home, and gives his hat and
SERVANT	Visitor waiting, sir. WALSINGHAM WALSINGHAM You look terrible. Don't they feed you in Paris? How are your studies? Learned the secrets of the universe yet?
WILLIAM	Not yet.
WALSINGHAM	These are dangerous times to be questioning the ways of God. You must take care of yourself.
WILLIAM	My needs are simple.
WALSINGHAM	You'll dine with us? You'll lodge with us?
MARY WALSINGHAM	William!
WILLIAM	Look at you! All grown up. May 1 Blue Draft - p.27
URSULA	William. This is a pleasure.
WILLIAM	I've been away too long, ma'am.
MARY WALSINGHAM	You come with me, William. U RSULA He's not still a student, is he? William is by the fire, listening to Mary playing the
URSULA	Have you spoken to the Queen?
WALSINGHAM	I speak to her daily.
URSULA	You know what I mean. You've done enough. No man could do more.
WALSINGHAM	I can't leave court yet. The Queen needs me.
URSULA	So you're to die in harness like a pack horse, are you? And for what? Mary! William! WALSINGHAM These are difficult times- URSULA It's always difficult times. Mary joins them, her arm in William's. Walsingham seizes
WALSINGHAM	William, come and tell us all the new ideas in the University. Will the great breach in the church ever be healed?
WILLIAM	doubt it, brother. Compromise out of fashion. On both sides say there can only be one and one God. URSULA sit.
MARY	
	ere by me, William.
WALSINGHAM	do they say in Paris of the call for holy war? WILLIAM welcome it. URSULA don't understand why we must hate each other.
WILLIAM	will always hate falsehood,
MARY	do we have to talk about war? us your nice news, William. you married yet?
WILLIAM	yet.
MARY	we must find you a nice English wife.
WILLIAM	no. I won't be staying long. must go back to my studies.
WALSINGHAM	too soon, I hope. Every man a rest.
URSULA	to him! When did you last I'd like to know? won't listen to me. Not a for his health. You tell he's your brother. He'll die his desk, out of sheer Green Revision May 25 - p.29 Elizabeth sits sumptuously gowned and jewelled at an
Your majesty's beauty is dazzling	to my eyes. Your learning is famed throughout Europe. I see before me perfection in human am I to stand in your fabled presence, warmed by your
greatness as by the rays of the	sun. Oh Elizabeth! To speak your name is to hear celestial music.
May that sweet sound guide me	through my life to come - Elizabeth! Elizabeth! I have illustrious court, in the hope that our two great nations might am bathed in the radiance of your glory, I am overwhelmed. I am great Elizabeth, can restore me to life.
C	ourtiers exchange smiles at his efforts. The Spaniards
LIZABETH	Your highness does me great honour. Shall we eat our dinner? It should prove almost as restorative as my love.
COURT LADY	So tell me, Mr Raleigh, in your sea battles - how do you sink an enemy ship? You shoot holes in its sides, I suppose.
RALEIGH	No, ma'am. A sunk ship is of no value. The object is to capture and command.
