film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
Jaffa,pass,6.8,351,7.2,122,male,female,TRUE
Jennifer's Body,pass,5.1,50005,5.3,17162,male,female,FALSE
Julie & Julia,pass,7,30867,7.1,24550,male,female,FALSE
Kaiji: The Ultimate Gambler,fail,6.4,523,7,129,male,female,TRUE
Knowing,fail,6.2,117892,6.1,21301,male,male,FALSE
The Last House on the Left,pass,6.6,37814,6.7,10176,male,female,FALSE
Last of the Living,fail,4.8,1168,4.7,130,male,male,FALSE
The Last Station,pass,7,7440,7.2,4184,male,female,FALSE
Last Train Home,pass,7.7,1735,7.9,390,male,female,FALSE
Law Abiding Citizen,fail,7.4,132710,7.6,21024,male,female,FALSE
Le herisson,pass,7.2,2789,7.7,1525,male,female,TRUE
Lebanon,fail,6.9,6573,7.2,629,male,female,FALSE
Lesbian Vampire Killers,pass,5.3,11598,4.9,1764,male,male,TRUE
Life During Wartime,pass,6.5,3458,6.4,749,male,male,FALSE
The Limits of Control,fail,6.2,9578,6.4,1577,male,female,FALSE
Little Girl,pass,7.1,354,7.5,110,male,female,TRUE
London River,pass,6.8,1854,7,577,male,female,FALSE
Los viajes del viento,fail,7.4,812,7.5,182,male,female,FALSE
Lost Persons Area,fail,5.9,99,5.4,29,male,male,TRUE
Lourdes,pass,6.9,1546,6.8,355,male,male,FALSE
The Lovely Bones,pass,6.6,61474,6.9,29146,male,female,TRUE
Madeo,pass,7.8,14756,7.8,2580,male,equal,FALSE
The Maid,pass,7.4,2632,7.3,787,male,male,FALSE
The Maiden Heist,fail,6.1,7925,6.3,1206,male,female,FALSE
Map of the Sounds of Tokyo,fail,6,1068,6.3,290,male,female,FALSE
Mary and Max,fail,8.1,52053,8.5,19361,male,female,TRUE
Mega Shark vs Giant Octopus,fail,2.5,6147,3.1,787,male,female,TRUE
The Men Who Stare at Goats,fail,6.2,70705,6.4,12960,male,female,FALSE
The Messenger,fail,7.2,19600,7.1,3520,male,male,FALSE
Micmacs,pass,7.2,15095,7.5,3120,male,female,FALSE
The Milk of Sorrow,pass,6.7,3285,6.8,969,male,female,FALSE
Modern Family,pass,8.6,90980,8.8,43230,male,female,FALSE
Monsters vs Aliens,pass,6.6,61424,6.6,15131,male,equal,FALSE
Moon,fail,8,149538,8,20472,male,equal,FALSE
Mother and Child,pass,7.2,4671,7.5,2469,male,female,FALSE
Mr. Nobody,fail,7.9,55227,8,19515,male,female,FALSE
Mutants,pass,5.6,2135,5.9,387,male,female,TRUE
My Bloody Valentine 3D,fail,5.5,27846,5.6,7227,male,female,FALSE
My Last Five Girlfriends,pass,5.8,1063,5.9,396,male,female,FALSE
My Queen Karo,pass,6.6,422,6.8,121,male,female,FALSE
My Sister's Keeper,pass,7.3,25703,7.6,25373,equal,female,FALSE
My Son My Son What Have Ye Done,fail,6.3,4893,6.3,758,male,equal,FALSE
Nasty Old People,pass,6.9,240,6,52,male,male,TRUE
Natale a Beverly Hills,fail,3.4,281,3,38,male,male,TRUE
New Moon,pass,4.1,100189,5.6,65196,male,female,TRUE
Ngai chai dor ching,fail,5.6,99,5.2,11,male,male,TRUE
Nine,fail,5.9,18593,5.8,11342,male,male,FALSE
Ninja Assassin,fail,6.3,41354,6.6,4192,male,female,FALSE
Not Since You,fail,5.7,318,5.9,534,female,female,FALSE
Nothing Personal,pass,7,1877,7.3,703,male,female,FALSE
Nowhere Boy,pass,7.1,13375,7.4,7386,male,female,TRUE
Ondine,pass,6.8,8667,6.9,4101,male,female,FALSE
One Hot Summer,fail,4,114,5.1,65,male,female,TRUE
Orphan,pass,7,66161,7,25693,male,equal,FALSE
OSS 117: Lost in Rio,fail,6.9,5779,6.8,727,male,male,FALSE
Our Summer in Tehran,pass,8.3,13,7.6,12,equal,male,TRUE
Paa,fail,7.1,3664,7.5,507,male,female,TRUE
Pandorum,fail,6.8,78374,6.7,10212,male,male,FALSE
Paper Heart,pass,6,4190,6.3,2017,male,female,FALSE
Perrier's Bounty,fail,6.3,3098,6.6,723,male,female,FALSE
Planet 51,fail,6.1,24128,6.3,6518,male,female,FALSE
Police Adjective,fail,7,2468,7.1,442,male,female,FALSE
Polytechnique,pass,7.2,2295,7.4,552,male,female,FALSE
Precious: Based on the Novel Push by Sapphire,pass,7.4,40873,7.6,19086,male,female,FALSE
The Princess and the Frog,pass,7,33456,7.4,25379,male,female,TRUE
Princess Protection Program,pass,5.3,2722,5.8,4865,female,female,TRUE
The Private Lives of Pippa Lee,pass,6.3,4621,6.7,3535,male,female,TRUE
Professor Layton and the Eternal Diva,pass,6.6,479,6.9,108,male,female,TRUE
The Proposal,fail,6.5,84262,7.1,57276,male,female,TRUE
Public Enemies,fail,7,139080,7.1,25879,male,female,FALSE
Push,pass,6.1,55383,6.5,12939,male,female,TRUE
Red Riding: In the Year of Our Lord 1974,fail,7.1,5714,7,1138,male,male,FALSE
Reservoir Hill,pass,5.3,36,4.8,29,male,male,TRUE
The Road,fail,7.3,109996,7.2,16229,male,male,FALSE
RoboGeisha,pass,5.2,1258,6.5,171,male,female,TRUE
Scheherazade Tell Me a Story,pass,6.8,306,7.4,67,male,female,TRUE
The Scouting Book for Boys,fail,6.6,505,6.9,108,male,female,TRUE
The Secret in Their Eyes,fail,8.3,61718,8.3,14403,male,equal,FALSE
The Secret of Kells,fail,7.6,9450,7.9,3718,male,female,TRUE
Serious Moonlight,fail,5.3,3423,5.5,1753,male,female,FALSE
She a Chinese,fail,6,287,5.8,73,male,male,FALSE
Sherlock Holmes,fail,7.6,253156,7.7,62662,male,female,FALSE
The Skeptic,fail,5.8,2165,5.9,625,male,female,FALSE
The Slammin' Salmon,pass,6.5,7562,6.3,702,male,male,FALSE
The Soloist,fail,6.7,26151,6.9,7759,male,female,FALSE
Soul Kitchen,fail,7.2,15833,7.4,5286,male,female,FALSE
Splice,pass,5.8,50635,5.6,10744,male,male,FALSE
Spring Breakdown,pass,4.7,2147,5.5,906,male,female,TRUE
Star Trek,pass,8,300813,8.2,59222,male,female,FALSE
State of Play,pass,7.1,76020,7.2,11393,male,female,FALSE
Still waiting,pass,5,3678,5.1,367,male,female,FALSE
Storm,pass,6.9,756,6.9,149,male,equal,FALSE
Suck,fail,6,2369,6.5,652,male,female,TRUE
Summer Wars,pass,7.6,7253,7.7,1655,male,female,FALSE
Surrogates,fail,6.3,102607,6.3,13943,male,equal,FALSE
Survival of the Dead,fail,5,12136,4.9,1362,male,male,FALSE
Surviving Evil,pass,4.2,365,3.9,61,male,male,TRUE
The Taking of Pelham 123,fail,6.4,92406,6.4,10633,male,equal,FALSE
Technotise - Edit i ja,pass,7.6,1412,7.5,319,male,male,FALSE
Terminator Salvation,fail,6.7,179446,6.8,19539,male,female,FALSE
Thick as Thieves,fail,6,20180,5.9,1979,male,male,FALSE
Thirst (Bakjwi),pass,7.2,18685,7,3545,male,male,FALSE
The Time Traveler's Wife,pass,7.1,50449,7.2,30569,male,female,FALSE
TiMER,fail,6.5,3743,6.9,3258,male,female,TRUE
Tinker Bell and the Lost Treasure,pass,6.4,2257,7,2071,equal,female,TRUE
Tournament,fail,6.1,22433,6.3,2089,male,female,FALSE
Transformers: Revenge of the Fallen,pass,6,189115,6.3,27382,male,female,FALSE
Tsar,fail,6.8,1331,7.1,193,male,female,FALSE
The Ugly Truth,fail,6.4,62645,6.7,44223,male,female,FALSE
The Unborn,pass,4.7,23814,4.9,7329,male,female,FALSE
Uncertainty,pass,5.9,3129,6,1474,male,female,FALSE
Undertow,pass,7.8,2575,7.8,587,male,equal,FALSE
Underworld: Rise of the Lycans,fail,6.5,67750,7,13574,male,female,TRUE
The Uninvited,pass,6.3,30642,6.6,11777,male,female,FALSE
The Unloved,pass,7,371,6.8,248,male,male,FALSE
Up,fail,8.2,289092,8.5,94204,male,female,TRUE
Up in the Air,fail,7.6,156037,7.2,43961,male,male,TRUE
Valhalla Rising,fail,5.9,26355,5.8,2795,male,male,FALSE
Vampire Girl versus Frankenstein Girl,pass,6,1691,6.3,268,male,female,FALSE
Veronika Decides to Die,pass,6.4,4303,6.9,2837,male,female,TRUE
Villa Amalia,pass,6.2,476,6.4,143,male,female,FALSE
Vision - Aus dem Leben der Hildegard von Bingen,pass,6.2,409,6.9,165,male,female,TRUE
Watchmen,fail,7.7,239178,7.2,33521,male,male,TRUE
Whatever Works,pass,7.2,32805,7.3,9379,male,female,FALSE
Where the Wild Things Are,fail,6.8,51827,6.8,15193,male,equal,FALSE
Whip It,pass,6.8,27066,7.3,14891,male,female,TRUE
White Material,pass,6.9,2697,7,513,male,female,FALSE
Whiteout,pass,5.5,21152,5.5,3527,male,equal,FALSE
Wild About Harry,pass,5.7,76,6.4,43,male,female,TRUE
The Wild Hunt,fail,6.3,1128,6.8,210,male,female,TRUE
Wonder Woman,pass,7.3,5618,7.7,661,male,female,TRUE
X-Men Origins: Wolverine,pass,6.7,175228,7.1,32581,male,female,TRUE
Year of the Carnivore,pass,5.7,295,5.9,83,male,female,FALSE
Yesterday Was a Lie,pass,5.3,268,5.9,59,male,female,TRUE
The Young Victoria,pass,7,12869,7.6,16686,female,female,TRUE
Youth in Revolt,fail,6.5,40432,6.2,9164,male,male,FALSE
Zombieland,pass,7.7,209228,7.8,41201,male,female,FALSE
[Rec] 2,fail,6.6,33345,6.3,5690,male,male,FALSE
21,pass,6.8,118713,7,23536,male,female,FALSE
27 Dresses,pass,5.8,34095,6.5,44690,female,female,TRUE
35 Shots of Rum,pass,7,1947,7,321,male,equal,FALSE
Adulthood,fail,6.7,6285,6.6,793,male,male,FALSE
Ai no mukidashi,pass,8.2,3772,8.1,658,male,male,FALSE
The Alphabet Killer,pass,5.3,4237,5.3,1162,male,equal,FALSE
American Violet,pass,6.8,1077,7.5,460,male,female,TRUE
Angus Thongs and Perfect Snogging,pass,5.7,3997,6.9,8804,female,female,TRUE
Appaloosa,fail,6.8,35499,6.7,3532,male,male,FALSE
Ashes of Time Redux,fail,7.1,5916,7.5,1144,male,female,TRUE
Australia,fail,6.5,54894,7,22870,male,female,TRUE
The Baader Meinhof Complex,pass,7.4,18803,7.4,2710,male,equal,FALSE
Baby Mama,pass,5.9,15817,6.4,9051,male,female,TRUE
The Bank Job,pass,7.3,105390,7.1,10665,male,male,FALSE
Barbie and the Diamond Castle,pass,5.1,185,6.4,380,female,female,TRUE
Be Kind Rewind,fail,6.4,53787,6.5,9177,male,female,FALSE
The Beaches of Agnes,pass,7.8,958,8,267,male,female,FALSE
Bedtime Stories,pass,6.1,39032,6.2,13279,male,female,FALSE
Bi the Way,pass,6.1,70,6.7,25,male,female,TRUE
Birdemic,pass,1.9,5537,2,794,male,female,FALSE
Birds of America,pass,6.2,2893,6.5,951,male,female,FALSE
Blindness,pass,6.6,35710,6.7,9312,male,female,FALSE
Bolt,pass,7,75489,7,22267,male,equal,FALSE
Bonnie & Clyde vs. Dracula,pass,5.2,163,6.8,47,male,female,TRUE
The Brothers Bloom,pass,6.8,25100,7.1,7225,male,female,FALSE
Burn After Reading,fail,7.1,147407,6.9,30222,male,male,FALSE
Changeling,pass,7.8,111961,7.8,37253,male,equal,FALSE
Che: Part One,fail,7.2,26419,7.1,2949,male,male,FALSE
Chi bi (Red Cliff),fail,7.4,24375,7.5,2851,male,female,FALSE
The Chronicles of Narnia: Prince Caspian,pass,6.5,72472,7.1,26844,male,female,TRUE
Ciao,fail,6.5,944,6.5,137,male,equal,FALSE
City of Ember,pass,6.5,30374,6.7,7454,male,female,FALSE
CJ7 (Changjiang 7 hao),fail,6.5,7290,6.8,1180,male,female,FALSE
Cloverfield,pass,7.2,182310,6.8,26585,male,male,TRUE
Coco Chanel,pass,6.6,851,7.2,1226,female,female,TRUE
The Curious Case of Benjamin Button,pass,7.8,232884,7.8,73465,male,equal,FALSE
Damn Bastard!,fail,6.1,38,4.8,7,male,male,TRUE
Dance of the Dead,fail,5.9,7080,5.9,1170,male,equal,FALSE
Dante 01,pass,4.9,3591,5,303,male,female,FALSE
The Dark Knight,pass,9,859857,8.8,163485,male,male,FALSE
Day of the Dead,pass,4.5,12578,4.7,1570,male,female,FALSE
The Day the Earth Stood Still,pass,5.5,91812,5.5,13462,male,equal,FALSE
Deadgirl,fail,5.8,8687,5.4,2462,male,male,TRUE
Death Race,fail,6.4,109401,6.5,11046,male,female,FALSE
Deception,fail,6,20151,6,4901,male,equal,FALSE
Defiance,pass,7.2,75130,7.4,9055,male,female,FALSE
Definitely Maybe,pass,7.2,60526,7,34851,male,male,FALSE
Diary of a Nymphomaniac,pass,5.7,3973,6.1,1580,male,female,TRUE
Dim Sum Funeral,pass,5.1,250,5.1,113,male,equal,FALSE
Doomsday,pass,6,44470,6,4777,male,equal,FALSE
Doubt,pass,7.5,55501,7.5,17705,male,equal,FALSE
The Duchess,pass,6.7,19370,7.2,21359,equal,female,TRUE
Eagle Eye,fail,6.6,98373,6.8,16155,male,female,FALSE
Easy Virtue,pass,6.6,6508,6.9,5819,male,female,TRUE
The Edge of Love,pass,6,4710,6.7,5086,equal,female,TRUE
El regalo,fail,6.8,116,6.6,40,male,male,FALSE
Everlasting Moments,pass,7.5,2419,7.8,690,male,female,FALSE
Examined Life,pass,7,654,7.2,137,male,female,FALSE
The Eye,pass,5.3,25057,5.4,8270,male,female,FALSE
Fanboys,fail,6.6,34464,6.9,4795,male,female,TRUE
Fashion,pass,7,4488,6.6,873,male,male,TRUE
Fireproof,fail,6.2,7651,7.3,3249,male,female,TRUE
Flash of Genius,fail,7,9683,6.9,1520,male,male,FALSE
Fly Me to the Moon,fail,4.6,2260,4.8,467,male,female,FALSE
The Forbidden Kingdom,fail,6.6,59421,6.7,7750,male,female,FALSE
Forgetting Sarah Marshall,pass,7.3,122692,7,35321,male,male,FALSE
Four Christmases,pass,5.6,23107,5.7,11926,male,female,FALSE
Franklyn,fail,6.1,9009,6.5,2274,male,female,TRUE
French Film,pass,6.4,336,6.8,136,male,female,TRUE
Frost/Nixon,fail,7.7,60242,7.8,8887,male,female,FALSE
Frozen River,pass,7.2,14185,7.4,2875,male,female,FALSE
Futurama: Bender's Game,fail,7.3,11337,7.3,1030,male,equal,FALSE
Futurama: The Beast with a Billion Backs,fail,7.2,13519,7.3,1223,male,female,FALSE
Gake no ue no Ponyo,pass,7.7,37876,7.8,16023,male,female,FALSE
The Gamers: Dorkness Rising,pass,7.5,1708,7.8,321,male,female,FALSE
Get Smart,fail,6.6,104009,6.5,21647,male,male,FALSE
Ghost in the Shell 2.0,pass,8,4383,7.8,501,male,male,FALSE
Ghost Town,fail,6.8,37530,6.7,9984,male,male,FALSE
God's Forgotten Town,pass,4,64,4.7,10,male,female,TRUE
Gomorra,fail,7,26033,6.8,2837,male,male,FALSE
Goodbye Solo,fail,7.4,3338,7.4,463,male,equal,FALSE
Gran Torino,fail,8.2,312565,8.2,52630,male,equal,FALSE
Grizzly Park,pass,4,1355,4.2,220,male,female,FALSE
Hamlet 2,pass,6.4,10250,6.5,2357,male,female,FALSE
Hancock,fail,6.5,179176,6.5,29882,male,equal,FALSE
Happy-Go-Lucky,pass,7,17921,6.9,6654,male,male,FALSE
Helen,pass,6,230,5.1,63,male,male,TRUE
Hellboy II: The Golden Army,fail,7.1,133471,7.1,19007,male,equal,FALSE
Herb & Dorothy,pass,7.5,349,7.3,159,male,male,FALSE
High School Musical 3: Senior Year,pass,3.6,17700,5.2,13092,male,female,TRUE
Horton Hears a Who!,fail,6.9,57402,7.2,19632,male,female,FALSE
The House Bunny,pass,5.4,27414,5.8,17123,male,female,TRUE
The Hurt Locker,fail,7.6,189022,7.6,26462,male,equal,FALSE
I Sell the Dead,fail,6.1,6381,6.3,1285,male,female,FALSE
I've Loved You So Long,pass,7.6,9677,7.8,4126,male,female,FALSE
Igor,fail,6,11270,6.4,4109,male,female,TRUE
In Bruges,fail,8,188281,7.9,32265,male,male,FALSE
The Incredible Hulk,fail,6.9,187528,6.8,26698,male,male,FALSE
Indiana Jones and the Kingdom of the Crystal Skull,fail,6.3,196423,6.4,31004,male,female,FALSE
Inkheart,pass,6,29840,6.5,13449,male,female,TRUE
Iron Man,fail,7.9,354240,8,66760,male,female,FALSE
Journey to the Center of the Earth,fail,5.7,44678,6.2,11241,male,female,TRUE
Jumper,fail,6,141813,6.2,28172,male,female,FALSE
Kataude mashin garu,pass,5.9,6264,6.3,597,male,female,TRUE
Killshot,fail,6.1,13670,6,1390,male,male,FALSE
Kung Fu Panda,fail,7.7,151774,7.5,37368,male,male,FALSE
Let the Right One In,fail,8,105425,7.9,25820,male,male,FALSE
La belle personne,pass,6.6,1273,7.1,1464,female,female,TRUE
Lion's Den,pass,7.1,1429,7.1,349,male,equal,FALSE
Lorna's Silence,pass,7.1,4231,7.1,908,male,equal,FALSE
The Loss of a Teardrop Diamond,pass,5.7,623,6.2,583,equal,female,TRUE
The Love Guru,fail,3.9,28567,3.7,5057,male,male,FALSE
The Lucky Ones,pass,7,7042,7.2,1985,male,female,FALSE
Mad Money,pass,5.6,8849,6.1,4060,male,female,TRUE
Made of Honor,fail,5.6,18756,6.1,19559,equal,female,TRUE
Mamma Mia!,pass,6.1,52431,6.8,42626,male,female,TRUE
Management,fail,6,8868,5.8,2823,male,male,FALSE
Marley & Me,fail,7,55059,7.3,26877,male,female,FALSE
Martyrs,pass,7,31862,7.2,7264,male,female,FALSE
Max Payne,pass,5.4,75983,5.4,6843,male,equal,FALSE
Meet Dave,fail,4.9,20059,4.9,3341,male,equal,FALSE
Merlin,pass,7.5,20790,8.4,16800,male,female,TRUE
Mesrine: Killer Instinct,fail,7.6,17556,7.5,1655,male,male,FALSE
Miao Miao,pass,6.6,260,6.6,117,male,equal,FALSE
Mid-August Lunch,pass,6.9,1793,7.1,550,male,female,FALSE
Milk,fail,7.6,73890,7.9,24565,male,female,TRUE
Miracle at St. Anna,fail,6,10902,6.6,1588,male,female,TRUE
Mirrors,fail,6.2,50201,6.1,12337,male,male,FALSE
Miss Pettigrew Lives for a Day,pass,6.9,7882,7.4,7799,equal,female,TRUE
The Mutant Chronicles,fail,5.3,18191,5.1,1357,male,male,FALSE
My Only Sunshine,pass,7.4,1113,7.6,244,male,female,FALSE
My Prison Yard,pass,6.1,125,6.4,42,male,female,TRUE
Nick and Norah's Infinite Playlist,pass,6.7,36611,6.8,17504,male,female,FALSE
Nim's Island,pass,5.9,13954,6.3,7143,male,female,TRUE
The No. 1 Ladies' Detective Agency,pass,7.9,879,8.7,946,equal,female,TRUE
Okuribito (Departures),pass,8.1,20984,8.2,5442,male,female,FALSE
Older Than America,pass,5.5,363,6.8,170,male,female,TRUE
One Million Yen Girl,pass,7.3,324,7.7,133,male,female,TRUE
The Other Boleyn Girl,pass,6.6,29922,7,29580,equal,female,TRUE
Outpost,fail,5.9,10278,5.8,905,male,male,FALSE
Over Her Dead Body,pass,5.2,9627,5.3,6980,male,female,FALSE
Overcome,fail,5.8,38,5.4,52,female,male,TRUE
Paris 36,fail,6.6,1398,6.7,449,male,female,FALSE
Passengers,pass,5.8,14873,6,5560,male,female,FALSE
Phoebe in Wonderland,pass,7,2794,7.5,2365,male,female,TRUE
Pineapple Express,fail,7.1,141330,7,24076,male,male,FALSE
Pirates II: Stagnetti's Revenge,pass,8.1,1738,7.1,112,male,male,TRUE
Pontypool,fail,6.7,12370,6.8,2230,male,female,FALSE
Possession,pass,5.5,2976,6.1,1546,male,female,TRUE
Princess: A Modern Fairtyale,pass,5.1,306,5.6,694,female,female,TRUE
Prom Night,pass,3.7,14951,4.4,6047,male,female,TRUE
Quantum of Solace,fail,6.7,190201,6.7,24603,male,equal,FALSE
Quarantine,pass,6.1,34748,6,7559,male,male,FALSE
Rachel Getting Married,pass,6.8,21659,6.5,10433,male,male,FALSE
Rain,pass,6.3,79,7.1,35,male,female,TRUE
The Reader,fail,7.5,91376,7.8,44393,male,female,FALSE
Repo! The Genetic Opera,pass,6.4,10676,7.5,5081,male,female,TRUE
Resident Evil: Degeneration,pass,6.6,17418,6.7,1479,male,female,FALSE
Revolutionary Road,pass,7.3,75530,7.5,35808,male,female,FALSE
RocknRolla,fail,7.3,123886,7.4,17113,male,female,FALSE
Role Models,fail,6.9,123250,6.8,25327,male,male,FALSE
Rough Aunties,pass,6.9,74,7.3,20,male,female,TRUE
Seraphine,pass,7.3,2541,7.5,1050,male,female,FALSE
Sauna,fail,6.4,3614,6.6,605,male,female,FALSE
The Secret Life of Bees,pass,7,6803,7.6,7220,equal,female,TRUE
Seven Pounds,pass,7.6,132292,7.8,33771,male,female,FALSE
Seventh Moon,fail,4.8,1335,4.7,265,male,male,FALSE
Sex and the City,pass,4.6,38181,6.5,37021,equal,female,TRUE
The Sisterhood of the Traveling Pants 2,pass,5.6,4653,6.5,11302,female,female,TRUE
Sita Sings the Blues,fail,7.7,1834,8,586,male,female,FALSE
The Sky Crawlers,pass,6.8,2923,6.6,410,male,male,FALSE
Slumdog Millionaire,fail,8,329111,8.2,95273,male,female,FALSE
Speed Racer,pass,6.1,39282,6.3,5523,male,female,FALSE
The Spirit,fail,4.8,38478,5,4853,male,female,FALSE
Stargate: Continuum,fail,7.5,9712,7.8,1228,male,female,FALSE
Stargate: The Ark of Truth,pass,7.3,8389,7.6,1160,male,female,FALSE
Starship Troopers 3: Marauder,pass,4.4,14268,4.2,766,male,male,FALSE
Step Brothers,fail,6.9,119912,6.6,22791,male,male,TRUE
Step Up 2: The Streets,pass,5.8,26062,6.6,19127,male,female,TRUE
The Strangers,pass,6.1,52085,6.3,14401,male,female,FALSE
Sunshine Cleaning,pass,6.9,31213,7,16274,male,female,FALSE
Sut,fail,6.8,1119,6.8,241,male,equal,FALSE
Synecdoche New York,pass,7.4,30090,7,5450,male,male,TRUE
Tokyo Sonata,fail,7.6,4331,7.6,893,male,equal,FALSE
Taken,pass,7.9,281596,7.8,48012,male,male,FALSE
The Tale of Despereaux,pass,6.1,16719,6.3,7103,male,female,FALSE
Three Kingdoms: Resurrection of the Dragon,fail,6.2,3436,6.2,393,male,equal,FALSE
Three wise men,fail,6.7,270,6.5,47,male,male,FALSE
Tinker Bell,pass,6.5,2735,7.2,2404,male,female,TRUE
Transporter 3,fail,6,72375,6.2,7235,male,female,FALSE
Transsiberian,pass,6.7,28259,6.7,4016,male,equal,FALSE
Tropic Thunder,fail,7,185480,6.9,29934,male,male,FALSE
Twilight,pass,4.9,151354,6.1,103802,male,female,TRUE
Valkyrie,fail,7.2,111336,7.1,14369,male,male,FALSE
Vantage Point,pass,6.6,87496,6.7,12177,male,female,FALSE
Vicky Cristina Barcelona,pass,7.2,91745,7.2,43013,male,equal,FALSE
WALL-E,fail,8.5,338997,8.5,88034,male,equal,FALSE
Waltz with Bashir,fail,8,29443,8,4716,male,equal,FALSE
Wanted,fail,6.7,179007,6.9,35478,male,female,FALSE
Welcome Home Roscoe Jenkins,pass,5.1,6842,5.5,1358,male,female,TRUE
Wendy and Lucy,pass,7.1,6921,7.1,1994,male,equal,FALSE
Were the World Mine,pass,7.1,2250,7,617,male,male,FALSE
What Doesn't Kill You,fail,6.7,6937,6.3,660,male,male,TRUE
What Happens In Vegas,pass,6,65122,6.3,33922,male,female,FALSE
While She Was Out,pass,4.7,3444,5.1,776,male,female,TRUE
Wild Child,pass,5.6,7521,6.3,13734,female,female,TRUE
The Women,pass,4.5,6197,5.3,6226,equal,female,TRUE
The World is Big and Salvation Lurks Around the Corner,fail,8,2590,8.6,1074,male,female,TRUE
The Wrestler,fail,8,175592,7.7,22366,male,male,FALSE
Yes Man,fail,6.9,152667,6.8,42097,male,male,FALSE
Zombie Strippers!,pass,4.2,11180,4.2,1384,male,equal,FALSE
1408,pass,6.8,123841,6.8,27252,male,equal,FALSE
2 Days in Paris,pass,6.9,13792,6.9,6719,male,equal,FALSE
28 Weeks Later,pass,7,127549,7,21039,male,equal,FALSE
30 Days of Night,fail,6.6,85741,6.6,16516,male,equal,FALSE
3:10 to Yuma,fail,7.8,151972,7.8,18869,male,equal,FALSE
4 Months 3 Weeks and 2 Days,pass,7.9,26926,7.8,7711,male,male,FALSE
5 Centimeters Per Second,fail,8,11417,7.8,3205,male,male,FALSE
88 Minutes,fail,5.9,44380,6.1,6043,male,female,FALSE
99 francs,fail,7.3,8924,7.4,2043,male,female,FALSE
Across the Universe,pass,7.3,43497,7.8,27349,male,female,TRUE
After Sex,pass,5.6,3802,5.9,1487,male,female,TRUE
American Zombie,pass,5,747,5.8,154,male,female,TRUE
Appleseed Saga: Ex Machina,pass,7.2,5419,7.2,491,male,equal,FALSE
Arranged,pass,7.3,994,7.8,623,male,female,TRUE
Atonement,pass,7.7,85008,8,50862,male,female,FALSE
Auf der anderen Seite,pass,7.9,15442,7.9,4446,male,equal,FALSE
The Bad Mother's Handbook,pass,5.5,158,6.9,818,female,female,TRUE
Ballet Shoes,pass,6.8,1745,7,3315,female,female,FALSE
The Band's Visit,fail,7.6,6592,7.7,1509,male,female,FALSE
Barbie as the Island Princess,pass,5.2,239,6.4,537,female,female,TRUE
Beaufort,fail,6.7,2730,7.2,332,male,female,TRUE
Because I Said So,pass,5,9686,6,14291,female,female,TRUE
Becoming Jane,pass,6.7,9483,7.4,21319,female,female,TRUE
Before the Devil Knows You're Dead,fail,7.3,55720,7.1,7631,male,male,FALSE
Beowulf,pass,6.4,94325,5.9,15266,male,male,TRUE
Bhool Bhulaiyaa,fail,6.8,3431,6.6,380,male,male,FALSE
Black Water,pass,6,5603,6,1040,male,equal,FALSE
Blades of Glory,pass,6.4,72227,6.4,15907,male,equal,FALSE
Bratz,pass,1.8,6163,3.7,4744,male,female,TRUE
Bratz: Fashion Pixiez,pass,4,6,5.3,12,female,female,TRUE
The Brave One,pass,6.8,32222,7.1,7031,male,female,FALSE
Breach,fail,7,36081,7.1,5240,male,female,FALSE
Breakfast with Scot,fail,6.7,1285,6.9,510,male,female,FALSE
Bridge to Terabithia,pass,7.2,52235,7.3,22984,male,female,FALSE
Bring It On: In It to Win It,pass,4.6,2485,5.7,3462,female,female,TRUE
Brooklyn Rules,pass,6.4,3543,6.4,436,male,equal,FALSE
The Bucket List,fail,7.4,105813,7.5,25116,male,female,FALSE
Caramel,fail,7,4497,7.4,2329,male,female,TRUE
Chakde! India,pass,8.4,16786,7.9,1809,male,male,TRUE
Charlie Bartlett,fail,7,29731,7.3,13266,male,female,FALSE
Charlie Wilson's War,pass,7.2,57925,6.9,9281,male,male,FALSE
Cocalero,pass,6.9,156,7.6,27,male,female,TRUE
The Condemned,fail,6.1,32806,6.3,2489,male,female,FALSE
Crashing,fail,5.7,395,5.9,60,male,female,FALSE
Cutlass,pass,7.6,721,7.9,535,male,female,TRUE
Dan in Real Life,pass,6.8,50833,6.8,16855,male,equal,FALSE
The Darjeeling Limited,fail,7.2,70417,7.4,18540,male,female,FALSE
Dark Mirror,pass,4.7,618,5,242,male,female,FALSE
Days and Clouds,pass,7,736,7,189,male,equal,FALSE
Death at a Funeral,pass,7.3,50879,7.6,16608,male,female,FALSE
Death Defying Acts,pass,5.8,4842,6,1587,male,female,FALSE
Death Proof,pass,7.1,126450,7.5,17931,male,female,TRUE
Diary of the Dead,pass,5.8,28761,5.6,3359,male,male,FALSE
Disturbia,pass,6.9,113864,7,28685,male,female,FALSE
The Diving Bell and the Butterfly,fail,8.1,52892,8.1,15700,male,equal,FALSE
Eagle vs Shark,pass,6.8,8685,7.1,2600,male,female,FALSE
Eastern Promises,pass,7.7,123392,7.7,18870,male,equal,FALSE
Ekusute (Exte: Hair Extensions),pass,6.5,1133,6.9,321,male,female,TRUE
Elizabeth: The Golden Age,pass,6.7,26429,7.1,13805,male,female,TRUE
Enchanted,pass,7.1,55571,7.4,42903,male,female,TRUE
Ensemble c'est tout,pass,6.6,4049,7.2,3100,male,female,TRUE
