film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
Crystal Fairy & the Magical Cactus and 2012,pass,5.8,2561,6,649,male,female,FALSE
Cutie and the Boxer,fail,7.2,1433,7.4,492,male,female,FALSE
Dallas Buyers Club,pass,8,91121,8.1,26651,male,female,FALSE
Dark Skies,fail,6.2,26196,6.5,7815,male,female,FALSE
Dark Touch,pass,4.9,1235,4.8,435,male,male,FALSE
The Day of the Doctor,pass,9.4,5631,9.5,2162,male,female,FALSE
Dead Man Down,pass,6.5,32058,6.6,4648,male,female,FALSE
Despicable Me 2,pass,7.4,106196,7.9,39453,male,female,TRUE
Devil's Pass,pass,5.6,5637,5.7,1198,male,female,FALSE
Disconnect,fail,7.6,24443,7.6,6742,male,equal,FALSE
Don Jon,pass,6.8,74726,6.6,20395,male,male,FALSE
Dragon Ball Z: Battle of Gods,pass,7.3,6244,7.4,413,male,female,FALSE
Dragon Lore: Curse of the Shadow,fail,4.8,1152,4.7,199,male,male,FALSE
Drinking Buddies,pass,6.2,18455,6,6205,male,male,FALSE
The East,pass,6.8,19093,7.2,5053,male,female,TRUE
Ego,fail,5.8,633,6.8,582,equal,female,TRUE
Elysium,pass,6.7,149737,6.6,24409,male,male,FALSE
Ender's Game,fail,6.8,72928,7.1,14072,male,female,FALSE
Enough Said,pass,7.1,16227,7.2,5635,male,female,FALSE
Epic,pass,6.6,34760,7,14237,male,female,TRUE
Escape from Planet Earth,pass,5.8,9982,6.2,2618,male,female,TRUE
Escape Plan,fail,6.8,73566,7,9249,male,female,FALSE
Europa Report,pass,6.5,24027,6.4,2632,male,male,FALSE
Evil Dead,pass,6.5,66722,6.4,13312,male,male,FALSE
Exit Marrakech,fail,6,111,6,31,male,equal,FALSE
Fack ju Gohte,pass,7.2,3552,7.5,817,male,female,FALSE
The Fall,pass,8,4497,8.4,2838,male,female,TRUE
Family Weekend,pass,6.3,1663,6.6,1038,male,female,FALSE
The Family,fail,6.3,35894,6.5,9259,male,female,FALSE
Faroeste caboclo,pass,6.8,868,7.1,179,male,female,FALSE
Fast and Furious 6,pass,7.1,148842,7.6,25648,male,female,TRUE
The Fifth Estate,fail,6,9490,6.4,3034,male,female,TRUE
Filth,fail,7.1,21383,7.2,3940,male,female,FALSE
Finsterworld,fail,7.1,304,6.9,83,male,male,FALSE
For Elisa,pass,4.8,46,5.1,17,male,female,FALSE
Freier Fall,fail,7.4,1546,7.4,391,male,equal,FALSE
Frozen,pass,7.7,92764,8.3,53193,male,female,TRUE
The Frozen Ground,fail,6.3,18450,6.6,3661,male,female,FALSE
Fruitvale Station,pass,7.5,19698,7.6,3944,male,female,FALSE
G.I. Joe: Retaliation,pass,5.8,81696,6,11401,male,female,FALSE
Gam-si-ja-deul,pass,7.1,1197,7.5,174,male,female,TRUE
The Gamers: Hands of Fate,pass,6.4,202,7,29,male,female,TRUE
Gangster Squad,fail,6.8,98830,6.9,19591,male,female,FALSE
Gimme Shelter,fail,5.9,344,7.2,243,male,female,TRUE
Girl Most Likely,pass,5.5,2828,5.9,2378,male,female,TRUE
Gloria,pass,7,1842,7,644,male,equal,FALSE
Go for Sisters,pass,6.1,77,7.3,23,male,female,TRUE
Grace Unplugged,pass,5.2,466,6.5,352,male,female,TRUE
The Grandmaster,fail,6.5,12119,6.8,2005,male,female,FALSE
Gravity,fail,8.2,254594,7.9,53451,male,male,FALSE
The Great Gatsby,pass,7.2,139763,7.7,59819,male,female,TRUE
Grown Ups 2,fail,5.3,43784,5.8,11446,male,female,TRUE
The Hangover part 3,fail,5.9,96945,6.1,18929,male,female,FALSE
Hannas Reise,pass,7,30,7.3,12,male,female,FALSE
Hansel & Gretel,pass,2.5,1584,2.8,498,male,female,FALSE
Hansel & Gretel: Witch Hunters,pass,6.1,77426,6.4,23678,male,female,TRUE
Hansel and Gretel Get Baked,pass,4.2,1354,4.4,371,male,female,FALSE
Haunter,pass,5.8,3847,6.1,1251,male,female,FALSE
Haute Cuisine,pass,6.2,1262,6.5,606,male,female,FALSE
The Heat,pass,6.5,52073,7.2,23112,male,female,TRUE
Hemlock Grove,pass,7,7546,7.8,5660,male,female,TRUE
Her,fail,8.3,69800,8,23195,male,male,TRUE
The Hit Girl,pass,6.8,23,9.3,7,male,female,TRUE
The Hobbit: The Desolation of Smaug,fail,8.1,176355,8.3,40687,male,female,FALSE
The Host,pass,5.6,31881,6.5,22649,male,female,TRUE
The Hot Flashes,pass,4.5,477,5.8,251,male,female,TRUE
