film_title,male_rating,female_rating
Take This Waltz,6.5,6.7
Teen Spirit,5.2,5.9
Terraferma,6.7,7.2
Thespians,7,6.8
The Thing,6.3,6.1
This is not a film,7.6,7.5
This Must Be the Place,6.7,6.9
Thor,7,7.4
The Three Disappearances of Soad Hosni,7.6,9
The Three Musketeers,5.7,6.2
Tinker Tailor Soldier Spy,7.1,7.1
Tomboy,7.3,7.6
Too Big to Fail,7.3,7.4
Tower Heist,6.2,6.4
Transformers: Dark of the Moon,6.3,6.5
The Tree of Life,6.8,6.4
Trishna,5.8,6.4
Turn Me On Dammit!,6.3,6.5
The Twilight Saga: Breaking Dawn - Part 1,4.1,6.1
Tyrannosaur,7.6,7.7
Union Squre,4.7,5.3
The Unleashed,4.2,3.9
Untouchable,8.6,8.8
Violet & Daisy,6.2,6.2
W.E.,5.6,6.7
Wake Wood,5.4,5.6
War Horse,7.2,7.6
Warrior,8.3,8.3
Water for Elephants,6.8,7.3
We Bought a Zoo,7.1,7.3
We Have a Pope,6.7,6.9
We Need to Talk About Kevin,7.4,7.7
Weekend,7.7,7.7
What's Your Number,5.7,6.4
When Pigs Have Wings,6.9,7.1
Where Do We Go Now?,7.3,7.9
Win Win,7.2,7.2
Winnie the Pooh,7.2,7.5
The Woman,6.1,6.1
Wuthering Heights,6.3,5.9
X-Men: First Class,7.8,8
You Instead,6,7
You're Next,6.5,6.5
Young Adult,6.4,6
Your Highness,5.7,5.1
Your Sister's Sister,6.8,6.6
'Tamara Drewe',6.3,6.2
127 Hours,7.7,7.7
13 Assassins,7.6,7.4
16 Wishes,5.5,5.6
18 comidas,6.2,7
4.3.2.1,5.9,6.2
A Bag of Hammers,6.4,7.3
A Little Help,5.8,5.6
A Marine Story,5.6,6.6
The A-Team,6.8,6.9
Abel,6.8,6.9
Aftershock,7.6,7.8
Alice in Wonderland,6.4,7
All About Evil,6.2,6.7
Amador,6.8,6.9
The Amazing Bulk,2.5,2.5
The American,6.4,5.9
An Invisible Sign,5.2,5.6
And Soon the Darkness,5.1,5.4
Animal Kingdom,7.3,7.3
Another Year,7.4,7.2
Arrietty,7.6,7.8
The Back-up Plan,4.7,5.7
Bal,7.2,7.4
Band Baaja Barat,7.4,7.6
Bandage,6.7,7.5
Barbie in a Mermaid Tale,4.9,6.3
Barney's Version,7.4,7.3
Basilicata Coast to Coast,6.7,6.8
Batman: Under the Red Hood,8,8.1
BearCity,6,6.3
Bedevilled,7.3,7.6
Beginners,7.2,7.4
Bill Cunningham New York,7.8,8.2
Biutiful,7.4,7.6
Black Swan,8.1,8.1
Black Venus,6.8,7.1
Blue Valentine,7.5,7.4
Book of Eli,6.9,6.8
Boy,7.4,7.8
Boy Wonder,6.9,6.9
Bratz: Pampered Petz,2.3,6.2
Break Ke Baad,4.8,5.7
Browncoats: Redemption,4.6,5.8
Buried,7,6.9
Burlesque,6,6.7
Cairo 678,7.5,7.8
Camp Rock 2: The Final Jam,4.6,5.4
Carancho,6.9,6.9
Casino Jack,6.3,6.1
Catfish,7.1,7.2
Cemetery Junction,6.9,7
Centurion,6.4,6.4
Ceremony,5.6,5.7
Certified Copy,7.2,7
Charlie St. Cloud,6,6.8
Chasing Legends,7.8,5.5
Chico & Rita,7.1,7.2
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,6.8
Clash of the Titans,5.8,6
The Client List,5.6,6.2
The Clinic,5.3,5.7
The Clock,8.7,6.9
Confessions (Kokuhaku),7.8,8.1
The Conspirator,6.9,7.2
Conviction,7.2,7.4
Cop Out,5.7,5.7
The Corridor,4.8,4.7
Country Strong,6,6.7
The Crazies,6.6,6.5
Cyrus,6.4,6
Date Night,6.3,6.5
Daydream Nation,6.3,6.7
Dear John,6,6.5
The Debt,6.8,7.1
Denizen,3.4,6.5
Despicable Me,7.6,8
Detective Dee and the Mystery of the Phantom Flame,6.6,6.7
Devil,6.3,6.3
Diary of a Wimpy Kid,6.2,6.5
Dinner for Schmucks,5.9,5.9
The Disciple,2.9,3.3
Don't Be Afraid of the Dark,5.5,5.6
Dos hermanos,6.4,6.9
Due Date,6.6,6.5
Dylan Dog: Dead of Night,5.1,5.5
Easy A,7,7.5
Eat Me!,4.5,4.9
Eat Pray Love,5.2,6
Edge of Darkness,6.6,6.5
El dios de madera,3,9
Elektra Luxx,5.1,5.3
Elena Undone,5.5,7
Elle s'appelait Sarah (Sarah's key),7.4,7.7
Enthiran,7,6.7
Essential Killing,6.1,6
Everything Must Go,6.5,6.2
Exit Through the Gift Shop,8.1,8.1
The Expendables,6.5,6.3
The Experiment,6.4,6.7
The Extraordinary Adventures of Adele Blanc-Sec,6.2,6.4
Fair Game,6.8,6.9
Faster,6.5,6.5
Feeding Frenzy,6.9,6.2
The Fighter,7.9,7.8
First Night,4.9,5.3
Food Stamped,6.5,6.1
For 80 Days,7,7.5
For Colored Girls,4.8,7.2
Four Lions,7.3,7.3
The Four-Faced Liar,5.2,6.2
Frozen,6.2,6.3
Get Him To The Greek,6.5,6.3
The Ghost Writer,7.3,7.1
Going the Distance,6.3,6.5
The Good Witch's Gift,6.8,7.7
The Great Vazquez,6.2,6.4
Green Zone,6.9,6.8
Greenberg,6.2,5.8
Grown Ups,5.9,6.2
Gunless,6.5,6.8
Happythankyoumoreplease,6.8,7
Harry Potter and the Deathly Hallows: Part 1,7.5,8.2
Heartbeats,7,7.4
The Heavy,5.1,5.2
The Hollywood Complex,6.6,6.8
Hot Tub Time Machine,6.5,6.2
The Housemaid,6.5,6.7
How I ended this summer,7,7
How to Train Your Dragon,8.1,8.5
Howl,6.7,7
The Human Resources Manager,6.5,6.7
The Hunter,6.2,6.3
Hypothermia,4,3.7
I Am Love,6.9,7
I Saw the Devil,7.9,7.7
The Illusionist,7.5,7.6
Incendies,8.2,8.4
Inception,8.8,8.7
Insidious,6.8,6.8
Into Our Own Hands,6.8,9.1
Ip Man 2,7.6,7.5
Iron Man 2,7,7.3
It's Kind of a Funny Story,7.1,7.2
Jack and the Beanstalk,4.7,4.9
Jo's Boy,5.7,6.3
Jucy,5.8,5.3
Just Wright,5.1,6.4
Justice League: Crisis on Two Earths,7.3,7.2
Kaboom,5.8,6
The Karate Kid,6.2,6.6
Kick-Ass,7.8,7.6
The Kids Are All Right,7.1,7
The Killer Inside Me,6.2,5.9
The Killing Jar,5.8,6
King of Devil's Island,7.4,7.7
The King's Speech,8.1,8.3
Knight and Day,6.3,6.3
La tete en friche,7.1,7.6
The Last Airbender,4.3,4.9
The Last Exorcism,5.7,5.4
Leading Ladies,4.3,6.7
Legion,5.1,5.5
Les emotifs anonymes,6.9,7
Let Me In,7.3,6.9
Letters to Juliet,6.2,6.8
Little White Lies,7.1,7.4
Los ojos de Julia (Julia's Eyes),6.6,6.7
The Losers,6.3,6.7
The Lottery,7,7
Love and Other Drugs,6.6,6.7
Love Like Poison,6.7,6.5
MacGruber,5.4,5
Machete,6.8,6.5
Made In Dagenham,7.1,7.4
Majorite opprimee,6.8,7.6
Meek's Cutoff,6.5,6.2
Megamind,7.3,7.5
Middle Men,6.7,5.1
Monga,7,7
Monsters,6.4,6.1
Morning Glory,6.5,6.6
My Babysitter's a Vampire,5.9,7
Mysteries of Lisbon,7.6,7.2
Nanny McPhee and the Big Bang,5.8,6.3
Never Let Me Go,7.1,7.4
The Next Three Days,7.4,7.4
Night Catches Us,6.2,6.6
Norwegian Wood,6.4,6.5
Of god and men (Des hommes et des dieux),7.2,7.4
Omae Umasou da na,7.2,7.2
On Tour,6.5,6.8
Oranges and Sunshine,7,7.3
The Other Guys,6.6,6.4
Our Family Wedding,4.4,5.3
Outside the Law,6.6,6.6
Paranormal Activity 2,5.7,5.7
Peacock,6.1,6.7
Percy Jackson & the Olympians: The Lightning Thief,5.7,6.5
Pete Smalls Is Dead,5,5.1
Pink Saris,7,7
The Place in Between,5.9,6.9
Please Give,6.6,6.5
Poetry,7.8,7.9
Post Mortem,6.7,6.5
Potiche,6.5,6.6
Predators,6.4,6.4
Predicament,5.1,6.8
Prince of Persia: The Sands of Time,6.6,6.9
R U There,5.5,5.6
Rabbit Hole,7,7
Ramona and Beezus,6.5,6.9
Rare Exports,6.7,7
Red,7,7.3
Red: Werewolf Hunter,4.3,4.7
Remember Me,7.1,7.4
Repo Men,6.3,6.4
Resident Evil: Afterlife,5.8,6.3
Restrepo,7.6,7.6
Revenge of the Bridesmaids,5.1,6.4
Robin Hood,6.7,6.8
The Romantics,5,5.2
Room in Rome,6.2,6.3
Rubber,5.8,5.5
The Runaways,6.5,6.8
Salt,6.4,6.5
Score: A Hockey Musical,4.6,5.4
Scott Pilgrim vs. the World,7.6,7.4
Secretariat,7.1,7.6
Senna,8.6,8.6
Sex and the city 2,3.4,5
Shelter,6,6.4
Shrek Forever After,6.4,6.6
The Shrine,5.6,5.6
Shutter Island,8.1,8.1
Simple Simon,6.8,7.5
Skeletons,6.8,7.1
Skyline,4.4,4.3
Small Town Murder Songs,6,5.8
The Social Network,7.9,7.6
Somewhere,6.4,6.2
The Sorcerer's Apprentice,6.1,6.4
Space Dogs,5.2,5.7
Spiderhole,4,4.4
The Spy Next Door,5.3,5.6
Stake Land,6.6,6.5
Standing Ovation,2.4,4.2
Steam of Life,7.9,8.2
Stonehenge Apocalypse,3.9,5.8
Submarine,7.3,7.4
Submarino,7.6,7.8
Super,6.8,6.3
Superman/Batman: Apocalypse,7.1,7
Surely Someday,6.3,7.8
The Switch,5.9,6.2
Takers,6.1,6.5
Tangled,7.7,8.2
Tekken,4.8,5.1
The Tempest,5.2,5.9
Temple Grandin,8.3,8.5
Time Traveller (Toki o Kakeru Shojo),6.3,7.2
Tinker Bell and the Great Fairy Rescue,6.8,7.4
Tiny Furniture,6.3,6.4
Titanic II,1.6,1.8
Tomorrow When the War Began,6.1,6.9
The Tourist,5.9,6.2
The Town,7.6,7.4
Toy Story 3,8.5,8.5
Transfer,6.7,6.9
Trigger,6.1,6.2
The Trip,7.1,6.9
Triple Dog,5.5,6.3
TrollHunter,7,7
Tron Legacy,6.9,6.8
True Grit,7.7,7.6
Tucker and Dale vs Evil,7.6,7.7
Turbulent Skies,3,3.6
The Twilight Saga: Eclipse,4.4,5.9
Una hora mas en Canarias,4.8,5.5
Uncle Boonmee Who Can Recall His Past Lives,6.6,6.3
Une vie de chat,6.9,7.1
Unstoppable,6.8,6.9
Valentine's Day,5.6,6
Valkaama,3.6,1
Vanishing on 7th Street,4.9,4.8
Viva Riva!,6.2,6.5
Wall Street: Money Never Sleeps,6.3,6.2
The Ward,5.6,5.8
The Way,7.4,7.7
We are The Night (Wir sind die Nacht),6.2,6.5
Welcome to the Rileys,7,7.2
West Is West,6.5,6.7
When in Rome,5.2,5.8
The Whistleblower,7.1,7.5
Wild Target,6.8,7.2
Winter's Bone,7.2,7.3
The Wolfman,5.9,5.7
Womb,6.3,6.8
The Women on the 6th Floor,7.1,7.2
Wrecked,5.2,5.1
YellowBrickRoad,4.7,4.7
Yogi Bear,4.4,4.8
You Again,5.5,6
You Will Meet a Tall Dark Stranger,6.3,6.2
Chess in Concert,8.4,9
(500) Days of Summer,7.9,7.8
12 Men of Christmas,5,6
17 Again,6.3,6.6
2012,5.8,5.8
3 Idiots,8.5,8.4
44 Inch Chest,5.8,5.9
9,7,7.2
A Perfect Getaway,6.5,6.7
A Prophet (Un Prophete),7.9,7.8
A Serious Man,7,6.9
A Single Man,7.5,7.9
A Town Called Panic,7.4,7.4
About Elly,8.2,8
According to Greta,6.2,6.5
Adam,7.2,7.4
Adventureland,6.9,6.6
Agora,7.1,7.4
Air Doll,6.9,7.2
Ajami,7.3,7.3
Albino Farm,3.9,4
Alice,6.6,7.9
All About Steve,4.7,5.1
An Education,7.3,7.5
Angels & Demons,6.7,6.8
Antichrist,6.6,6.5
Armored,5.7,5.8
The Assassin Next Door,5.8,6.3
Astro Boy,6.3,6.4
Attack on Leningrad,6.2,6.5
Avatar,8,7.9
Away We Go,7.1,7.3
Awaydays,5.7,6.5
The Bad Lieutenant: Port of Call - New Orleans,6.7,6.2
Beeswax,6,5.4
Bitch Slap,4.5,4.5
Black Dynamite,7.4,7.2
The Blind Side,7.6,8
Blood: The Last Vampire,5.3,5.5
The Boat That Rocked,7.4,7.7
The Boondock Saints II: All Saints Day,6.3,6.8
The Box,5.6,5.3
Bruno,6,5.6
Bride Wars,4.9,5.8
Brief Interviews With Hideous Men,5.7,5.8
Bright Star,6.8,7.3
Bring It On: Fight to the Finish,4.7,5.7
Broken Embraces,7.2,7.4
Brooklyn's Finest,6.7,6.5
Brothers,7.1,7.2
C Me Dance,1.4,1.8
Cairo Time,6.6,7.1
Capitalism: A Love Story,7.4,7.5
Cargo,6.3,6.3
Carriers,6.1,6
Case 39,6.2,6.2
Chloe,6.3,6.4
The City of Your Final Destination,6.4,6.5
Cloudy with a Chance of Meatballs,7,7
Coco avant Chanel,6.4,7
Coco Chanel & Igor Stravinsky,6.3,6.5
The Concert,7.6,7.8
Confessions of a Shopaholic,5.5,6.1
Cooking with Stella,5.4,5.2
Coraline,7.7,7.8
Cracks,6.6,7
Crossing Over,6.8,6.9
Dance Subaru,6.1,6.4
The Dancer and the Thief,6,6.6
David's Birthday,6.6,6.2
Daybreakers,6.4,6.6
Dead Hooker in a Trunk,4.8,4.4
Dead Like Me: Life After Death,5.9,6.2
Dead Snow,6.4,6.4
Deadline,4.4,5
Dear Lemon Lima,6.4,6.7
Defendor,6.9,6.7
Desert Flower,7.1,7.7
The Disappearance of Alice Creed,6.8,6.8
District 9,8,7.8
Do Comeco ao Fim,6.7,6.9
Do Comeco ao Fim,6.7,6.9
Dogtooth,7.2,7.2
Dom zly,7.5,7.4
The Double Hour,6.7,6.8
Drag Me to Hell,6.7,6.2
Duplicity,6.2,6.1
Echelon Conspiracy,5.8,5.9
El nino pez,5.8,6.2
El traspatio (Backyard),7,7
Elsewhere,5.4,6
Enter the Void,7.3,7.2
Evangelion: 2.0 You Can (Not) Advance,8.1,7.8
Everybody's Fine,7.2,7.2
Exam,6.8,7
Exit 117,7.6,4.3
Eyes Wide Open,7.3,7.5
Fantastic Mr. Fox,7.8,7.8
Fast & Furious,6.5,7
The Final Destination,5,5.3
Finding Bliss,5.3,5.6
Fired Up!,6.1,6.4
Fish Tank,7.3,7.3
The Fourth Kind,5.9,6
Frequently Asked Questions About Time Travel,7.1,7.3
Friday the 13th,5.6,5.6
Funny People,6.5,6
Futurama: Into the Wild Green Yonder,7.3,7.3
G-Force,5.1,5.3
G.I. Joe: The Rise of Cobra,5.7,6
Gamer,5.8,6.1
Get Low,7.1,7.2
Ghosted,4.7,5.3
The Girl (Flickan),6.7,6.9
The Girl on the Train,6.1,5.8
The Girl Who Kicked the Hornets' Nest,7.2,7.5
The Girl Who Played with Fire,7,7.3
The Girl with the Dragon Tattoo,7.8,8
The Girlfriend Experience,5.6,5.2
Go get some rosemary,6.4,6.3
The Good Guy,5.9,6.1
The Good Witch's Garden,6.7,7.6
Grey Gardens,7.4,7.6
The Hangover,7.9,7.7
Hannah Free,6,6.7
Harry Brown,7.3,7.2
Harry Potter and the Half-Blood Prince,7.3,7.9
He's Just Not That Into You,6.2,6.6
Headhunter,6.7,6.6
Heartless,6,6.1
Helen,6.2,6.7
Hideaway (Le refuge),6.4,6.5
The Horde,5.9,5.9
The House of the Devil,6.5,6.1
Hua Mulan,6.6,7.4
The Human Centipede (First Sequence),4.5,4.2
Humpday,6.1,6
I Come with the Rain,5.4,6
I Love You Phillip Morris,6.6,6.9
I Love You Man,7.1,7
Ice Age: Dawn of the Dinosaurs,7,7.3
Il richiamo,6.1,6.1
The Imaginarium of Doctor Parnassus,6.9,7
In the Electric Mist,6.1,6
In the Loop,7.5,7.4
Infestation,6,6.1
The Informant!,6.5,6.3
Inglourious Basterds,8.3,8.4
Ink,7,7.2
The Invention of Lying,6.4,6.3
Invictus,7.4,7.5
It's Complicated,6.5,6.8
Jai tue ma mere,7.3,7.7
Jaffa,6.8,7.2
Jennifer's Body,5.1,5.3
Julie & Julia,7,7.1
Kaiji: The Ultimate Gambler,6.4,7
Knowing,6.2,6.1
The Last House on the Left,6.6,6.7
Last of the Living,4.8,4.7
The Last Station,7,7.2
Last Train Home,7.7,7.9
Law Abiding Citizen,7.4,7.6
Le herisson,7.2,7.7
Lebanon,6.9,7.2
Lesbian Vampire Killers,5.3,4.9
Life During Wartime,6.5,6.4
The Limits of Control,6.2,6.4
Little Girl,7.1,7.5
London River,6.8,7
Los viajes del viento,7.4,7.5
Lost Persons Area,5.9,5.4
Lourdes,6.9,6.8
The Lovely Bones,6.6,6.9
Madeo,7.8,7.8
The Maid,7.4,7.3
The Maiden Heist,6.1,6.3
Map of the Sounds of Tokyo,6,6.3
Mary and Max,8.1,8.5
Mega Shark vs Giant Octopus,2.5,3.1
The Men Who Stare at Goats,6.2,6.4
The Messenger,7.2,7.1
Micmacs,7.2,7.5
The Milk of Sorrow,6.7,6.8
Modern Family,8.6,8.8
Monsters vs Aliens,6.6,6.6
Moon,8,8
Mother and Child,7.2,7.5
Mr. Nobody,7.9,8
Mutants,5.6,5.9
My Bloody Valentine 3D,5.5,5.6
My Last Five Girlfriends,5.8,5.9
My Queen Karo,6.6,6.8
My Sister's Keeper,7.3,7.6
My Son My Son What Have Ye Done,6.3,6.3
Nasty Old People,6.9,6
Natale a Beverly Hills,3.4,3
New Moon,4.1,5.6
Ngai chai dor ching,5.6,5.2
Nine,5.9,5.8
Ninja Assassin,6.3,6.6
Not Since You,5.7,5.9
Nothing Personal,7,7.3
Nowhere Boy,7.1,7.4
Ondine,6.8,6.9
One Hot Summer,4,5.1
Orphan,7,7
OSS 117: Lost in Rio,6.9,6.8
Our Summer in Tehran,8.3,7.6
Paa,7.1,7.5
Pandorum,6.8,6.7
Paper Heart,6,6.3
Perrier's Bounty,6.3,6.6
Planet 51,6.1,6.3
Police Adjective,7,7.1
Polytechnique,7.2,7.4
Precious: Based on the Novel Push by Sapphire,7.4,7.6
The Princess and the Frog,7,7.4
Princess Protection Program,5.3,5.8
The Private Lives of Pippa Lee,6.3,6.7
Professor Layton and the Eternal Diva,6.6,6.9
The Proposal,6.5,7.1
Public Enemies,7,7.1
Push,6.1,6.5
Red Riding: In the Year of Our Lord 1974,7.1,7
Reservoir Hill,5.3,4.8
The Road,7.3,7.2
RoboGeisha,5.2,6.5
Scheherazade Tell Me a Story,6.8,7.4
The Scouting Book for Boys,6.6,6.9
The Secret in Their Eyes,8.3,8.3
The Secret of Kells,7.6,7.9
Serious Moonlight,5.3,5.5
She a Chinese,6,5.8
Sherlock Holmes,7.6,7.7
The Skeptic,5.8,5.9
The Slammin' Salmon,6.5,6.3
The Soloist,6.7,6.9
Soul Kitchen,7.2,7.4
Splice,5.8,5.6
Spring Breakdown,4.7,5.5
Star Trek,8,8.2
State of Play,7.1,7.2
Still waiting,5,5.1
Storm,6.9,6.9
Suck,6,6.5
Summer Wars,7.6,7.7
Surrogates,6.3,6.3
Survival of the Dead,5,4.9
Surviving Evil,4.2,3.9
The Taking of Pelham 123,6.4,6.4
Technotise - Edit i ja,7.6,7.5
Terminator Salvation,6.7,6.8
Thick as Thieves,6,5.9
Thirst (Bakjwi),7.2,7
The Time Traveler's Wife,7.1,7.2
TiMER,6.5,6.9
Tinker Bell and the Lost Treasure,6.4,7
Tournament,6.1,6.3
Transformers: Revenge of the Fallen,6,6.3
Tsar,6.8,7.1
The Ugly Truth,6.4,6.7
The Unborn,4.7,4.9
Uncertainty,5.9,6
Undertow,7.8,7.8
Underworld: Rise of the Lycans,6.5,7
The Uninvited,6.3,6.6
The Unloved,7,6.8
Up,8.2,8.5
Up in the Air,7.6,7.2
Valhalla Rising,5.9,5.8
Vampire Girl versus Frankenstein Girl,6,6.3
Veronika Decides to Die,6.4,6.9
Villa Amalia,6.2,6.4
Vision - Aus dem Leben der Hildegard von Bingen,6.2,6.9
Watchmen,7.7,7.2
Whatever Works,7.2,7.3
Where the Wild Things Are,6.8,6.8
Whip It,6.8,7.3
White Material,6.9,7
Whiteout,5.5,5.5
Wild About Harry,5.7,6.4
The Wild Hunt,6.3,6.8
Wonder Woman,7.3,7.7
X-Men Origins: Wolverine,6.7,7.1
Year of the Carnivore,5.7,5.9
Yesterday Was a Lie,5.3,5.9
The Young Victoria,7,7.6
Youth in Revolt,6.5,6.2
Zombieland,7.7,7.8
[Rec] 2,6.6,6.3
21,6.8,7
27 Dresses,5.8,6.5
35 Shots of Rum,7,7
Adulthood,6.7,6.6
Ai no mukidashi,8.2,8.1
The Alphabet Killer,5.3,5.3
American Violet,6.8,7.5
Angus Thongs and Perfect Snogging,5.7,6.9
Appaloosa,6.8,6.7
Ashes of Time Redux,7.1,7.5
Australia,6.5,7
The Baader Meinhof Complex,7.4,7.4
Baby Mama,5.9,6.4
The Bank Job,7.3,7.1
Barbie and the Diamond Castle,5.1,6.4
Be Kind Rewind,6.4,6.5
The Beaches of Agnes,7.8,8
Bedtime Stories,6.1,6.2
Bi the Way,6.1,6.7
Birdemic,1.9,2
Birds of America,6.2,6.5
Blindness,6.6,6.7
Bolt,7,7
Bonnie & Clyde vs. Dracula,5.2,6.8
The Brothers Bloom,6.8,7.1
Burn After Reading,7.1,6.9
Changeling,7.8,7.8
Che: Part One,7.2,7.1
Chi bi (Red Cliff),7.4,7.5
The Chronicles of Narnia: Prince Caspian,6.5,7.1
Ciao,6.5,6.5
City of Ember,6.5,6.7
CJ7 (Changjiang 7 hao),6.5,6.8
Cloverfield,7.2,6.8
Coco Chanel,6.6,7.2
The Curious Case of Benjamin Button,7.8,7.8
Damn Bastard!,6.1,4.8
Dance of the Dead,5.9,5.9
Dante 01,4.9,5
The Dark Knight,9,8.8
Day of the Dead,4.5,4.7
The Day the Earth Stood Still,5.5,5.5
Deadgirl,5.8,5.4
Death Race,6.4,6.5
Deception,6,6
Defiance,7.2,7.4
Definitely Maybe,7.2,7
Diary of a Nymphomaniac,5.7,6.1
Dim Sum Funeral,5.1,5.1
Doomsday,6,6
Doubt,7.5,7.5
The Duchess,6.7,7.2
Eagle Eye,6.6,6.8
Easy Virtue,6.6,6.9
The Edge of Love,6,6.7
El regalo,6.8,6.6
Everlasting Moments,7.5,7.8
Examined Life,7,7.2
The Eye,5.3,5.4
Fanboys,6.6,6.9
Fashion,7,6.6
Fireproof,6.2,7.3
Flash of Genius,7,6.9
Fly Me to the Moon,4.6,4.8
The Forbidden Kingdom,6.6,6.7
Forgetting Sarah Marshall,7.3,7
Four Christmases,5.6,5.7
Franklyn,6.1,6.5
French Film,6.4,6.8
Frost/Nixon,7.7,7.8
Frozen River,7.2,7.4
Futurama: Bender's Game,7.3,7.3
Futurama: The Beast with a Billion Backs,7.2,7.3
Gake no ue no Ponyo,7.7,7.8
The Gamers: Dorkness Rising,7.5,7.8
Get Smart,6.6,6.5
Ghost in the Shell 2.0,8,7.8
Ghost Town,6.8,6.7
God's Forgotten Town,4,4.7
Gomorra,7,6.8
Goodbye Solo,7.4,7.4
Gran Torino,8.2,8.2
Grizzly Park,4,4.2
Hamlet 2,6.4,6.5
Hancock,6.5,6.5
Happy-Go-Lucky,7,6.9
Helen,6,5.1
Hellboy II: The Golden Army,7.1,7.1
Herb & Dorothy,7.5,7.3
High School Musical 3: Senior Year,3.6,5.2
Horton Hears a Who!,6.9,7.2
The House Bunny,5.4,5.8
The Hurt Locker,7.6,7.6
I Sell the Dead,6.1,6.3
I've Loved You So Long,7.6,7.8
Igor,6,6.4
In Bruges,8,7.9
The Incredible Hulk,6.9,6.8
Indiana Jones and the Kingdom of the Crystal Skull,6.3,6.4
Inkheart,6,6.5
Iron Man,7.9,8
Journey to the Center of the Earth,5.7,6.2
Jumper,6,6.2
Kataude mashin garu,5.9,6.3
Killshot,6.1,6
Kung Fu Panda,7.7,7.5
Let the Right One In,8,7.9
La belle personne,6.6,7.1
Lion's Den,7.1,7.1
Lorna's Silence,7.1,7.1
The Loss of a Teardrop Diamond,5.7,6.2
The Love Guru,3.9,3.7
The Lucky Ones,7,7.2
Mad Money,5.6,6.1
Made of Honor,5.6,6.1
Mamma Mia!,6.1,6.8
Management,6,5.8
Marley & Me,7,7.3
Martyrs,7,7.2
Max Payne,5.4,5.4
Meet Dave,4.9,4.9
Merlin,7.5,8.4
Mesrine: Killer Instinct,7.6,7.5
Miao Miao,6.6,6.6
Mid-August Lunch,6.9,7.1
Milk,7.6,7.9
Miracle at St. Anna,6,6.6
Mirrors,6.2,6.1
Miss Pettigrew Lives for a Day,6.9,7.4
The Mutant Chronicles,5.3,5.1
My Only Sunshine,7.4,7.6
My Prison Yard,6.1,6.4
Nick and Norah's Infinite Playlist,6.7,6.8
Nim's Island,5.9,6.3
The No. 1 Ladies' Detective Agency,7.9,8.7
Okuribito (Departures),8.1,8.2
Older Than America,5.5,6.8
One Million Yen Girl,7.3,7.7
The Other Boleyn Girl,6.6,7
Outpost,5.9,5.8
Over Her Dead Body,5.2,5.3
Overcome,5.8,5.4
Paris 36,6.6,6.7
Passengers,5.8,6
Phoebe in Wonderland,7,7.5
Pineapple Express,7.1,7
Pirates II: Stagnetti's Revenge,8.1,7.1
Pontypool,6.7,6.8
Possession,5.5,6.1
Princess: A Modern Fairtyale,5.1,5.6
Prom Night,3.7,4.4
Quantum of Solace,6.7,6.7
Quarantine,6.1,6
Rachel Getting Married,6.8,6.5
Rain,6.3,7.1
The Reader,7.5,7.8
Repo! The Genetic Opera,6.4,7.5
Resident Evil: Degeneration,6.6,6.7
Revolutionary Road,7.3,7.5
RocknRolla,7.3,7.4
Role Models,6.9,6.8
Rough Aunties,6.9,7.3
Seraphine,7.3,7.5
Sauna,6.4,6.6
The Secret Life of Bees,7,7.6
Seven Pounds,7.6,7.8
Seventh Moon,4.8,4.7
Sex and the City,4.6,6.5
The Sisterhood of the Traveling Pants 2,5.6,6.5
Sita Sings the Blues,7.7,8
The Sky Crawlers,6.8,6.6
Slumdog Millionaire,8,8.2
Speed Racer,6.1,6.3
The Spirit,4.8,5
Stargate: Continuum,7.5,7.8
Stargate: The Ark of Truth,7.3,7.6
Starship Troopers 3: Marauder,4.4,4.2
Step Brothers,6.9,6.6
Step Up 2: The Streets,5.8,6.6
The Strangers,6.1,6.3
Sunshine Cleaning,6.9,7
Sut,6.8,6.8
Synecdoche New York,7.4,7
Tokyo Sonata,7.6,7.6
Taken,7.9,7.8
The Tale of Despereaux,6.1,6.3
Three Kingdoms: Resurrection of the Dragon,6.2,6.2
Three wise men,6.7,6.5
Tinker Bell,6.5,7.2
Transporter 3,6,6.2
Transsiberian,6.7,6.7
Tropic Thunder,7,6.9
Twilight,4.9,6.1
Valkyrie,7.2,7.1
Vantage Point,6.6,6.7
Vicky Cristina Barcelona,7.2,7.2
WALL-E,8.5,8.5
Waltz with Bashir,8,8
Wanted,6.7,6.9
Welcome Home Roscoe Jenkins,5.1,5.5
Wendy and Lucy,7.1,7.1
Were the World Mine,7.1,7
What Doesn't Kill You,6.7,6.3
What Happens In Vegas,6,6.3
While She Was Out,4.7,5.1
Wild Child,5.6,6.3
The Women,4.5,5.3
The World is Big and Salvation Lurks Around the Corner,8,8.6
The Wrestler,8,7.7
Yes Man,6.9,6.8
Zombie Strippers!,4.2,4.2
1408,6.8,6.8
2 Days in Paris,6.9,6.9
28 Weeks Later,7,7
30 Days of Night,6.6,6.6
3:10 to Yuma,7.8,7.8
4 Months 3 Weeks and 2 Days,7.9,7.8
5 Centimeters Per Second,8,7.8
88 Minutes,5.9,6.1
99 francs,7.3,7.4
Across the Universe,7.3,7.8
After Sex,5.6,5.9
American Zombie,5,5.8
Appleseed Saga: Ex Machina,7.2,7.2
Arranged,7.3,7.8
Atonement,7.7,8
Auf der anderen Seite,7.9,7.9
The Bad Mother's Handbook,5.5,6.9
Ballet Shoes,6.8,7
