title	male_rating	female_rating	male_lines	female_lines	female_line_ratio
Day of the Dead	7.2	7.1	473	1	0.002
Ghostbusters	7.8	7.6	222	8	0.036
Gremlins	7.2	7.1	541	38	0.07
Purple Rain	6.2	6.5	667	36	0.054
Supergirl	4.2	4.8	635	128	0.202
Conan the Barbarian	6.9	6.3	314	218	0.694
The King of Comedy	7.8	7.5	877	195	0.222
Clash of the Titans	6.8	7	640	59	0.092
Days of Heaven	8	7.9	416	0	0
The Italian Job	7.4	7.3	520	101	0.194
True Grit	7.4	7.5	758	0	0
2001  A Space Odyssey	8.4	7.8	405	156	0.385
Bonnie and Clyde	7.9	8	494	226	0.457
Mary Poppins	7.6	8.1	40	0	0
From Here to Eternity	7.8	7.8	1017	257	0.253
Strangers on a Train	8.1	8.2	541	134	0.248
Anna Karenina	7.1	7.3	413	390	0.944
Deception	7.2	7.7	728	16	0.022
The Wizard of Oz	8.1	8.3	743	308	0.415
Anna Karenina	7.1	7.3	464	339	0.731
King Kong	8	7.8	581	78	0.134
Frankenstein	8	8.1	580	118	0.203
