M	CHARACTER	DIALOGUE
M	AMOUN	Majesty, if I may -- the young man does exist. He lives in a small fishing village on the isle of Seriphos. Kepheus turns, surprised at Amoun's foreknowledge.
M	KEPHEUS	You knew about this and said nothing? Just which king do you serve?
M	AMOUN	My Queen, I serve only the great order of things. I was the boy's tutor years ago.
M	KEPHEUS	How haughty this boy must be, who knows he is half-God.
M	AMOUN	He knows nothing and believes himself an ordinary man. He has never left his village. He can be overconfident, but it is from inexperience, not arrogance. Repheus and Cassiopeia exchange wary looks. Sharply
F	CASSIOPEIA	What assurance do we have that our daughter will be safe? You have my word, as Ambassador of the Gods.
M	KEPHEUS	With our daughter's future at stake, we do not bestow trust easily. If any harm should come to her -- Amoun reacts, but it is too late -- Thoth has been Suddenly, the WALLS GROAN, compressing with an AWFUL The golden marbles on a tabletop roll from their pits and The Princessa shall not be harmed.
M	AMOUN	Your Majesty... Of course... of course your word is unquestioned here. Thoth's demeanor changes. The marbles spill off the
M	KEPHEUS	Where is the lucky young suitor? As the net passes we see -- ANTEROS, a hapless young fisherman, his legs entangled in PERSEUS, 25, wiry, bronzed from the sun, a stubbled jaw, Perseus swims INTO VIEW and uses his knife to cut the net One more slice and the shark zooms out of the net, Then, gruffly --
M	SPYROS	Your grieving does Anteros no good. It comforts only you.
M	PERSEUS	It's my fault he's gone.
M	SPYROS	He was careless with the net. Perseus gives him a hard look.
M	PERSEUS	So it's his fault. Not mine, not fate, not the Gods? The Gods delude themselves about their power and watch in envy while we act. We make our own history.
M	PERSEUS	Now my history is I let my friend die in my arms. I made it back, why couldn't he?
M	SPYROS	What you do, no other man can do. Have you not noticed?
M	PERSEUS	To what purpose? I failed him. Purpose! Looking for purpose is what ensnares men in the superstition of the Gods, as surely as your friend was caught in that net. And all the searching leads down to the same place. The trawler is approaching its home island, Seriphos.
M	PERSEUS	You always say that my abilities are greater than other men's. But they were not enough to save him.
M	SPYROS	You are still a man, confined by man's limits. You are just as likely to fail as succeed.
M	PERSEUS	How is that greater than other men?
M	SPYROS	Ordinary men fail most of the time. The trawler rounds a point on the island. Perseus spies a beautiful girl on the cliff. A closer
M	LOOK --	A huntress; a pagan leather bandeau hugs her lithe figure. Flowers in her golden hair -- wilted dahlias. She watches Perseus intently as the boat passes. He
M	TEKLA	Mother wants you to come in for supper. Perseus, why are you so sad? This breaks his spell. He looks at Tekla warmly, gets up
M	TEKLA	I still don't understand.
M	SPYROS	Your mother can explain. She believes everything has an explanation, even if we have to make it up. It's one of the reasons I love you, Marmara.
M	TEKLA	Tell me! Why is there war between Man and the Gods? Marmara and Tekla continue to bring out the food.
M	MARMARA	At the beginning of time, when Man was young, he prayed to the Gods. His belief in the Gods gave his life meaning. It was a good thing.
M	SPYROS	If you consider superstition, fear and darkness good things... But Man grew, as children do, and he turned away from the Gods. Be began to put his faith in other things. Perseus watches the debate with fiery eyes.
M	TEKLA	What things?
M	SPYROS	Learning, science... love. self-determination! Those things that give Man dignity and independence.
M	MARMARA	But what of the Gods, who had protected and guided us so long? survive. They hunger for
M	SPYROS	-- as lions hunger for blood.
M	MARMARA	Spyros! Your father's mind is closed on these matters.
M	SPYROS	The Gods were desperate to claim our awe again.
M	TEKLA	Desperate... the Gods?
M	SPYROS	Yes, even the Gods. If they could not earn our faith with love, they would demand it with fear. Whatever was necessary to ensure L their continued existence. Marmara and the wide-eyed Tekla sit down.
M	MARMARA	And that is how war broke out between Man and Gods. Now eat your dinner, which the Gods -- and your father -- have provided.
M	PERSEUS	You... I saw you watching our boat at the cliff.
M	WILTING GIRL	It was not the boat I was watching.
M	PERSEUS	Can I be of service?
M	WILTING GIRL	Yes, of service. I need you to come with me on a journey. Perseus gives her a look.
M	PERSEUS	Right now? It wouldn't take much persuading to get me to leave this village, but tonight is impossible. My family can't wake and find me gone. Where do you want me to go?
M	WILTING GIRL	It's not what I want. I am in the service of others. Perseus can't get over her beauty, the dulcet sound of her voice. Even so --
M	PERSEUS	Come back in the morning and we can talk about it.
M	WILTING GIRL	I'm sorry.
M	PERSEUS	For what? Perseus doesn't notice the black widow spider scurry He feels the first spider and looks down. The creatures
M	PERSEUS' WOOZY POV	The Wilting Girl standing placidly in the doorway watching him.
M	BACK TO SCENE	He blacks out.
M	CLOSER	We SEE that she is also watching Perseus, who is sleeping healing as we look at them. Perseus stirs and wakes, squinting up at the Wilting
M	PERSEUS	How long have I been out?
M	WILTING GIRL	This time? Only a few hours. The time before, almost a day. How was your rest?
M	PERSEUS	I had a dream. I fell into a dark pit. I thought I would never stop falling. But a beam of light formed a soft net, caught me and tossed me back. TheWilting Girl watches him.
M	PERSEUS	When I came back up to the world, a beautiful woman appeared and spoke to me. But as she spoke she would sometimes disappear into the whiteness with a strange sound.
M	PERSEUS' POV	The Wilting Girl listens to his story.
M	PERSEUS	When I could hear her, she spoke nonsense. She said that my father was a God and my mother a -- At that moment the blinding-white sail swings between
M	PERSEUS' FACE	as he realizes she is his vision.
M	WILTING GIRL	You are special, Perseus. Your birth was ordained for this very purpose.
M	PERSEUS	I am an ordinary man.
M	WILTING GIRL	Do you ever lie awake during a storm and listen to the thunder? And it sounds as though it matches the beating of your heart? He doesn't have to answer; it's written on his face.
M	WILTING GIRL	How long can you hold your breath? Longer than the others? Are there times when you know you should feel pain, but you don't?
M	PERSEUS	None of that means anything.
M	WILTING GIRL	Look at your arms, Perseus. Perseus watches the bites on his arm heal visibly.
M	PERSEUS	A good trick. You must be the demigod, not me. I'm a Chthonian.
M	PERSEUS	A Chthonian?
M	WILTING GIRL	An Earth Goddess. The Gods have a caste system just as men do. The Olympians are our nobility -- few but cosmic. The Chthonians are the peasants. Our abode is this earth, and we exist as long as men worship us.
M	PERSEUS	And when none worship you? Sadness flickers through her extraordinary eyes. We fade away. This touches Perseus deeply. His tone changes.
M	PERSEUS	And demigods, where do they stand in your hierarchy?
M	WILTING GIRL	Nowhere. Sorry.
M	PERSEUS	If demigods rank so low, why do you need me?
M	WILTING GIRL	For a marriage.
M	PERSEUS	What!
M	WILTING GIRL	Zeus, God of Gods, has proposed a treaty to end the war. At the center is the marriage of a mortal with a demigod.
M	PERSEUS	Who, me?
M	WILTING GIRL	Zeus himself has chosen you. A demigod may be less than a God, but he's more than a Man. One foot in Humanity, the other in Divinity. Your marriage will be a symbol of accord between our races.
M	PERSEUS	Forget it.
M	WILTING GIRL	Such a union could save millions of souls. Perseus is struck by that. He looks off across the sea.
M	PERSEUS	And just who exactly am I supposed to marry? The BOY is AGENOR, a kitchen helper -- ripped and sexy. Andromeda holds him at bay --
F	ANDROMEDA	Do you think you can manhandle a Princess this way? As though she was hungry and needy as you, a mere servant? Another steamy kiss. In between liplocks, she whispers
F	ANDROMEDA	very mistaken... a woman of my station... never be attracted... They go at it again. She's PESHET, handmaid to Princessa Andromeda. She has a
M	PESHET	Princess... Princess! The Princess is not here. Find another... Princess.
M	PESHET	The Queen approaches! I don't care!
M	PESHET	Andromeda! You'll care enough if you're caught! Remember last time... From inside we HEAR complaining, more kissing and
M	CASSIOPEIA (O.S.)	Peshet! Startled, Peshet spins to see the Queen approach.
F	CASSIOPEIA	Where is the Princess? He ignores her, starts again. Andromeda does something below the frame that jolts him off. The girl can take care of herself.
M	PESHET	Is she not in her chambers, ma'am?
F	CASSIOPEIA	She is not. You are expected to know her -- A SQUEAL and WHISPERING from the closet stops Cassiopeia. Tell the Princess -- should you find her -- her father and I want to see her at once. She stalks away. Urgently, through the door --
M	PESHET	Princess, it's the King as well!
F	ANDROMEDA	To please you, I would submit to such a marriage... except I would rather die; Please let me know you're serious about this perverse plan so I can make arrangements to kill myself. She stomps out. Their gaze follows until she's gone.
M	KEPHEUS	It will take more than half-a-God to handle her.
F	CASSIOPEIA	She'll be a great ruler one day. blush were she not so pale.
M	WILTING GIRL	You're looking in the wrong direction.
M	PERSEUS	I don't think so.
M	WILTING GIRL	Perhaps you should give some thought to your immediate future.
M	PERSEUS	That's what I'm doing.
M	WILTING GIRL	Maybe you should take another look... She indicates the view behind him. Perseus turns, jaw
M	HIS POV	A breathtaking view of Joppa -- a city in two parts. Above, twisting stone stairs climb the cliffs to the The Wilting Girl leads Perseus through the city. He's never seen anything like it. He rubbernecks, awestruck scales over a mold.
M	WILTING GIRL	All the goods, armies, and culture of Man's dominion flow through this port. He who reigns in Joppa, rules the world. Amidst the exotic chaos, Perseus is struck by the homeless refugees on the street and the ruins of once-
M	PERSEUS	The war has badly scarred this place.
M	WILTING GIRL	It is the war you have the power to end. He throws her an angry look, grim.
M	PERSEUS	Don't joke about such things. I'd be useless before such a huge responsibility.
M	WILTING GIRL	Perhaps you would be... ... as you are now. They pass an evangelist (FANTASOS) haranguing a crowd. -- one true God is not Zeus but she called the Deep -- Tiamat! 'Before the first dawn, the eyes of the Deep watched the earth.' Bow down to the Goddess of Chaos or know despair, for Tiamat will rule the heavens and the earth. Perseus is mystified by this talk. He turns to Vidalia Perseus and Vidalia round a corner and see the regal preparing for a big event.
M	PERSEUS	What are they celebrating?
M	WILTING GIRL	You. Kepheus speaking sternly to Perseus, before him.
M	KEPHEUS	. before I am a king or a peacemaker, I am a father. Do you know what that means?
M	PERSEUS	I'm not sure, Your Highness. I did not know my father. Yes, well... it means I had no desire for my little girl's carefree springtime to be cut What is she? I'm sure she's preparing herself to make the best possible impression. Perseus suppresses a smile, amused by the royal couple. -- and all so she could be thrust into a momentous conflict... of which she knows nothing at all.
M	PERSEUS	She's not the only one, sir. I don't know much about the events for which I've been drafted.
M	KEPHEUS	I take no comfort in that, young man. In fact, I find little to take comfort in here. You are a stranger from a distant place, and I am asked to entrust the welfare of my daughter to you. If you are not kind and patient with her, if any harm of any kind should come her way, I will have your head on a stake. Kepheus thinks he sees a smirk on Perseus' face. He puts
M	KEPHEUS	Is this amusing to you?
M	PERSEUS	Not even a little, my lord. It's just that I myself was waylaid -- snatched also, as you say, from my happy springtime... Kepheus studies him to see if he's making jest of him.
M	PERSEUS	I've been told I'm to play a part in events which serve a higher purpose... of which I'm not at all convinced.
M	KEPHEUS	Does a truce in the war between Men and Gods not strike you as a higher purpose?
M	PERSEUS	With all respect, I have never seen a God. On my island, they're no more than a story. You will learn there is more to this universe than is found on your island. This is supposed to be the son of a God, yet he doubts their existence! They exist, young man. But if you doubt their power, I join you -- Cassiopeia! We have agreed such talk has no place in this palace. Have we?
M	PERSEUS	I can only proceed based on what I have experienced, not on a faith I do not possess.
M	KEPHEUS	Where does a young person get such ideas?
M	PERSEUS	Perhaps from my adopted father, sir. I admire him greatly, and he believes in little he cannot hold in his hand.
M	KEPHEUS	Is he a scholar?
M	PERSEUS	No, Your Highness, a fisherman. I know this mentor who so influences young Perseus. Amoun has silently entered the chamber. Perseus reacts in amazement.
M	PERSEUS	Master Amoun! He hurries over to the older man, who embraces him warmly.
M	AMOUN	Porpoise... You've grown tall and strong since my departure. Perseus laughs at his old nickname and holds Amoun at
M	PERSEUS	What are you doing here?
M	AMOUN	I am honored to serve the King as an advisor. His Magi Strategos.
M	PERSEUS	From my village tutor to Magi Strategos... What a path! The King's patience is exhausted. To Cassiopeia
M	KEPHEUS	Where is Andromeda? At the least, the two should meet before tomorrow's ceremony... Tomorrow? Is the wedding so soon?
F	CASSIOPEIA	The wedding comes later. Tomorrow we will have the public announcement.
M	AMOUN	And a celebration of the treaty. A Page enters and whispers in Kepheus' ear. Kepheus is
M	KEPHEUS	It seems our Andromeda has wandered away. Cassiopeia reacts, upset.
M	AMOUN	Perhaps the thought of her new life has made her frantic to enjoy the vestiges of her old one.
M	KEPHEUS	Perseus, if you're to take the wild girl for a wife, this is a good time to start your training. Go into the city and retrieve her.
M	PERSEUS	How will I know her?
F	CASSIOPEIA	She is unmistakable.
M	PERSEUS	I'm a stranger here. Any hints?
M	AMOUN	Follow the lights and the sound of profane music. Suddenly, a heavy wall shoots up from the cobblestones, On the other side, she emerges from the stone, breathing She's gone only a few steps, when just ahead of her, thick vines shoot out and form a dense barrier. She
M	WILTING GIRL	Zeus? Zeus' rumbling voice is held low, talking to her in an Why do we have to play these games, my lovely girl? You know you cannot leave. The vines retract, freeing her. She rubs where they gripped her.
M	WILTING GIRL	My part is finished.
M	ZEUS (V.0.)	It has just begun. Have you forgotten your place in this?
M	WILTING GIRL	As I've lost my believers, the future has become dimmer to me.
M	ZEUS (V.O.)	I still believe in you. Close your eyes and see your tomorrow. She closes her eyes and takes a deep breath. A single
M	WILTING GIRL	It's too painful. I can't involve myself.
M	ZEUS (V.O.)	You you already involved. Such is fate. We cannot hide from the .trials of our future... no matter how dark the alleyway. She looks back at the Basilica with profound sadness. Perseus moves through the revelry, looking at every girl, Andromeda is dancing at the center of attention, her
M	PERSEUS (O.S.)	Very beautiful. Andromeda spins, petulant.
F	ANDROMEDA	Will you please give me some The sight of the handsome stranger gives her pause.
F	ANDROMEDA	What did you say?
M	PERSEUS	I said, 'Very beautiful.'
