M	CHARACTER	DIALOGUE
M	ERIC (V.0.)	The spell Ravenna's mother placed on her gave her the ability to steal youth and beauty, and indeed all things good, for her own evil purposes. But for every life there must be a death, for every gain, loss, and under the reign of Ravenna nature turned on itself and people turned on each other.
M	ERIC V/O	And all this time, she kept Snow White in a cell in the north tower. Ravenna, in the shadows, sits perfectly still. Though it's Around the corner, Finn secretly eyes his sister, who doesn't Ravenna, just outside the cell, doesn't blink, entranced by Snow White opens her eyes and sees Ravenna. This is not the
M	SNOW WHITE	Why?... Ravenna doesn't answer, just stands and walks away. It's only as we move closer to his rugged face that we see the SARA, beautiful, in pain. A patch of blood blossoms on her Help!!!! He rises to his feet unsteadily, his head pounding from a
M	ERIC	Lay a hand on her and I'll take your head!
M	BROCH	Ale given you courage again, huntsman?
M	ERIC	Won't take much courage to split your skull from here.
M	BROCH	Aye, but first you'd have to see straight. Broch advances with a grin, drawing his own axe. Trying to clear Broch is on Eric in an instant, swinging his huge battle axe. Rose looks on, terrified, as Broch drives Eric towards the The blade buries itself deep in the tree, stuck. We realize now
M	ROSE	Thank you. Eric turns. Rose sees how handsome he is. Eric stares at her
M	ROSE	I don't know how to repay you? Eric stares at her a moment, then suddenly picks her up and
M	ERIC	Don't worry, somebody else will.
M	SLAVE MERCHANT	Her nose is on the large size and her chin's a little weak.
M	ERIC	Your eyes are dim.
M	SLAVE MERCHANT	I'll give you two gold pieces.
M	ERIC	After all the business we've done together? Rose curses behind her gag as Eric pulls her away.
M	SLAVE MERCHANT	Four gold pieces and that's my final offer! Eric doesn't even bother to turn around.
M	ERIC	I'll peddle my wares elsewhere, thank you. The slave merchant sees his prize disappearing and calls out:
M	SLAVE MERCHANT	Ten gold pieces! Eric hesitates, but it's not from a guilty conscience, he's just A GUARD opens a cell opposite Snow White. A few seconds As soon as the Guard is gone, Snow White rises, walks to her
M	SNOW WHITE	Hello?... What's your name? Rose, sitting in a dark corner, goes to her cell bars and
M	ROSE	I am Rose. Snow White smiles - a friendly face. The General uses a pointer to make his presentation while
M	BLACK KNIGHT GENERAL	There are scattered rebel groups on the fringe of the dark forest, but they cause little harm. She dips her fingers into a bowl of DEAD SONGBIRDS, plucks
F	RAVENNA	And what of the Duke?
M	BLACK KNIGHT GENERAL	We have pushed his forces into the mountains but his stronghold at Carmath holds firm.
F	RAVENNA	Lay siege to it.
M	ANOTHER GENERAL	The mountains and fortress provide impenetrable protection, my Queen.
F	RAVENNA	Then lure him out! Burn every village that supports him. Poison their wells. If they still resist put their heads on pikes to decorate the roads!
M	BLACK KNIGHT GENERAL	My Queen. They have taken the fight to us. Rebels harry our supply lines and rob our pay wagons.
M	ANOTHER GENERAL	We have just captured two of the rebel leaders. They will be put to the sword.
F	RAVENNA	I wish to interrogate them myself. She drops her robe and walks up the steps to her bath. She She is dressed now and stands at a window, Finn at her side. I won't go back. She is lost for a moment, then...
F	RAVENNA	Finn, do you remember when we were children, begging for scraps like those wretches?
M	FINN	Yes, my Queen.
F	RAVENNA	Am I not kinder?
M	ROSE	All the girls in our village were taken. I was trying to reach safe haven at Duke Hammond's castle when I was caught -- Snow White bursts with hope --
M	SNOW WHITE	The Duke?! He's alive?! He still fights in my father's name?! Rose stares at the feral girl now, realizing who she is.
M	ROSE	You're the king's daughter? Princess?... The night the evil one's reign began we were told all in the castle were put to the sword. How were you spared?
M	SNOW WHITE	William? What about William?! The Duke's son?! Is he alive?!
M	ROSE	I don't know, princess. Rose shakes her head, still gazing at Snow White, then hears
M	ROSE	Ravenna faces the two rebels. A SOLDIER steps forward.
M	SOLDIER	My Queen, these two were captured leading an ambush of our supply caravan. Ravenna seems intrigued, steps forward, eyeing them.
F	RAVENNA	You left your home, your family, the bosom of my protection, to aid my enemies? Why?
M	THOMAS	Because under your rule we have lost everything. We will not stop until this kingdom is free.
F	RAVENNA	Lost everything? Your son? She moves to Iain, right up to his face.
F	RAVENNA	Very handsome. Obviously a debt owed to your wife. She reaches out and touches Iain's strong jaw. He struggles
F	RAVENNA	There was a time I would have lost my heart to a face like yours -- and you would have no doubt broken mine. In a flash Iain grabs a Guard's dagger and rams it into
F	RAVENNA	You would kill your Queen? She pulls the dagger out - there is no"wound, no blood - and
F	RAVENNA	You have beauty. And courage. But how strong is your heart? She smiles, almost regrettably, then places her hand on his
F	RAVENNA	No. Let him return to the Duke and speak of the generosity of his Queen. With that she sweeps out, followed by Finn. It's only now that
M	FINN	Are you alright? Ravenna pulls her arm away furiously. The General and the
M	OUT!!!!!	They quickly exit, all save Finn, who watches, concerned, as
M	FINN	Magic comes at a lofty price.
F	RAVENNA	And the expense grows.
M	FINN	You look...
F	RAVENNA	old?...
M	FINN	Tired.
F	RAVENNA	My powers... fade. This is about as much as Ravenna can confess. Finn watches
M	FINN (O.S.)	I have something for what ails you. She turns to see -- Finn, with Rose. Ravenna almost smiles.
M	SNOW WHITE	Rose?... The Guard clangs the cell door shut and walks away.
M	SNOW WHITE	Rose?...
F	RAVENNA	Mirror, mirror, on the wall, Who is the fairest of them all? The bronze ripples. The Mirror Man pours out and reforms.
M	MIRROR MAN	My Queen, you have defied nature and robbed it of its fairest fruit. But on this day there is one more beautiful than you.
F	RAVENNA	More beautiful, but --
M	MIRROR MAN	She is the reason your powers wane.
F	RAVENNA	She won't live to see tomorrow. Who is it?! Give me her name?!
M	MIRROR MAN	Snow White. Ravenna is shocked by this, staggers a bit.
F	RAVENNA	Snow White? Finn'.'. I should have killed her as a child. She is my undoing?
M	MIRROR MAN	She is also your treasure, Queen. It was wise to have kept her close for the innocence and purity that can destroy can also heal. Hold her heart in your hands and you shall never again need to consume youth. You shall never again weaken or age. Immortality without cost! Ravenna laughs, overjoyed. Finn appears out of the shadows. All he sees is his sister
M	FINN	Yes, Queen?... She is confused but notices -- A roofing nail, right where the Magpies hover. She yanks hard.at the nail, almost has it when -- Snow White hears FOOTSTEPS down the hall. she jumps down, lies in her bed again just as -- She doesn't move, grips the nail in her closed hand as she
M	FINN	Did I wake you? Snow White shakes her head gently.
M	FINN	Are you always awake when I watch you? Yes. She looks away.
M	SNOW WHITE	You've never come in before.
M	FINN	My Queen won't allow it. She wants you all to herself.
M	SNOW WHITE	I'm afraid of her.
M	FINN	Not of me.
M	SNOW WHITE	No. He can't help himself, reaches out and touches her arm.
M	FINN	It's alright, princess. You will never again be locked in a cell.
M	SNOW WHITE	What does she want from me? His finger move from her hair to her cheek, stroking it
M	FINN	Your beating heart. Snow White grips the roofing nail even tighter as she looks She SLASHES him across the face with the nail. Blood flies.
M	ROSE	Go. Finn stumbles to the cell door, clutching his face. Snow White tosses the keys into an empty cell and races away. The magpies fly right into her face then away, telling her to
M	CHIEF GUARD 0/S	Open the gates! The Princess has escaped! He stares in surprise as riders gallop out. A group of people including children - skeletal, hungry, Snow White tries to grab her reins but the horse pulls away, not As Snow White sees the silhouettes of the riders reappear. The riders are about to follow when their horses rear and kick Despite their concern for Snow White, the MAGPIES are also too More terrors rage at her from the swirling mist. She stumbles
F	RAVENNA	How is it an innocent young girl makes a fool of my brother?! Armed only with a nail?! If she'd had a sword she'd have taken the whole castle! We're in front of her, behind her, on her face, on her feet --
F	RAVENNA	You swore to protect me! Do you not understand what, the girl means to us?! This is my future! This is everything. Everything!
M	RAVENNA (CONT'D)	There is no one I can trust in this place!! There is no loyalty! None!!!! And then she stops on a dime, turns to him, marches right up to BELTS HIM! Hard. He staggers a bit then picks himself up,
M	FINN	She was chased into the dark forest. She's likely already dead. She SCREAMS and slaps him viciously.
F	RAVENNA	She's no good to me there, lost. I must have her heart! You have failed me! Finn's had enough, he erupts at her --
M	FINN	Have I not given all to you?! She takes this, softens, unexpectedly, and almost smiles.
F	RAVENNA	Have I not given you all? All. She raises her finger and touches his face. His wound heals
M	FINN	Indeed, my Queen.
F	RAVENNA	Don't fail me again, Finn. I have no powers in the Dark Forest. Bring me someone who knows it well. Someone who can hunt her!
M	FINN	The Queen demands the services of someone to navigate the Dark Forest. The villagers stay mum, shaking their heads.
M	OLD LADY	No-one goes into the Dark Forest.
M	FINN	You will be compensated. Still no takers. An OLD-TIMER stares right at FINN, steps
