M	CHARACTER	DIALOGUE
M	FRODE O/S	Forgive me for intruding on your Christmas. My name is Dirch Frode. I'm an attorney. I represent Henrik Vanger. Perhaps you've heard of
F	BLOMKVIST	Of course. FRODE O/S He'd like to speak to you about a private matter.
F	BLOMKVIST	You know, you're calling at an awkward time.
M	FRODE O/S	I'm sorry. I'm about to sit down to Christmas dinner myself. BLOMKVIST That's not what I mean.
M	FRODE O/S	You're referring to your recent legal trouble. That has provided Mr. Vanger with some entertainment. BLOMKVIST Excuse me?
M	FRODE O/S	He doesn't care for Wennerstrom either.
F	BLOMKVIST	Have him call me. FRODE O/S He'd like to meet in person if that's okay. Up north. Hedestad.
F	BLOMKVIST	No. Sorry.
M	FRODE O/S	He's much too old to make a trip to Stockholm, Mr. Blomkvist. Please. If you'd be so kind as to consider.
M	FRODE O/S	Hedestad is lovely in winter. Like a Christmas card. FRODE First time in Hedestad?
F	BLOMKVIST	And last, I'm sure. FRODE It's lovely in the spring.
F	BLOMKVIST	You said it was lovely in winter.
M	FRODE	This is unseasonable.
F	BLOMKVIST	I'll be on the 4:30 train back to Stockholm.
M	FRODE	Unless we get snowed in ... I'm joking. You'll be home tonight, if that's what you wish.
F	VANGER	Welcome. Come inside. It's warm. VANGER Thank you for coming way out here. Anna, take Mr. Blomkvist's insufficient coat. Would you like to freshen up? We'll be having dinner later. For now, hot tea is waiting. Unless you'd like a drink instead. What would you like?
M	FRODE	Mr. Blomkvist would like to be on the 4:30 train back to Stockholm.
F	VANGER	What?
F	BLOMKVIST	I can't stay for dinner.
F	VANGER	Oh. I guess I'd better be quick then. Thank you, Dirch. Mikael, this way.
F	VANGER	What do you know about me? BLOMKVIST That you used to run one of the biggest industrial firms in the country.
F	VANGER	Used to. That's correct.
F	VANGER	My grandfather forged the tracks the 4:30 train will take you home on - and most of the other pre-state-owned rail lines. We stitched this country together. We made the steel and milled the lumber that built modern Sweden. You know what our most profitable product now is? Fertilizer.
F	VANGER	I'm not obsessed with the declining health of the company, but I am with the settling of accounts - and the clock is ticking. I need your help.
F	BLOMKVIST	Doing.
F	VANGER	Officially, assisting me with my memoirs. But what you'd really be doing is solving a mystery. And you'd do that by doing what you do so well - this recent legal mishap of yours notwithstanding. You'd be investigating thieves, misers, bullies, and malcontents - the most detestable collection of people you'll ever meet ... my family. President of the investment firm, Wennerstrom-gruppen ... Wennerstrom+Vanger Industries - and hits the `cached' Hmmm.
M	VANGER V/O	This is Harriet. The granddaughter of my brother Richard.
F	VANGER	Richard, who I may as well start with to get it out of the way, was a Nazi of the first order - joining the Nationalist Socialist Freedom League when he was 17.
F	VANGER	Isn't it interesting how fascists always steal the word freedom. The 4:30. Yes. Okay. Anyway, Richard died a martyr to the Nazi cause in 1940 - missed all the real excitement - but not the opportunity to regularly beat his wife Margareta and their son, Gottfried.
F	VANGER	Now, Gottfried - Harriet's father - was what people used to call a Good- Time-Charlie.
