M	CHARACTER	DIALOGUE
F	ELIZABETH	My suitors. COURTIER The Archduke Charles of Austria, majesty. HATTON The younger brother of Maximilian II, the Holy Roman Emperor. WALSINGHAM A cousin of Philip II of Spain. BESS He's rather sweet.
F	ELIZABETH	More your age than mine, Bess. How old is he?
M	HATTON	Young... I believe, majesty. An
M	Austrian alliance would keep	France quiet. WALSINGHAM And it would put Philip on a leash. looks across at the Spaniards.
F	ELIZABETH	I become almost enthusiastic. Send for him. Where is he, then?
F	ELIZABETH	How much longer do you think I can play this game?
F	WALSINGHAM	Virginity is an asset that holds its value well.
M	LIZABETH	Diplomatically speaking. of the Spaniards recognises him and murmurs to the
M	DON GUERAU	Majesty, this man is a notorious pirate.
F	ELIZABETH	Indeed?
M	DON GUERAU	Spanish treasure, stolen from Spanish ships. You will see.
M		aleigh kneels before the Queen. Elizabeth gestures for him
F	ELIZABETH	Well, sir. Who are you?
M	RALEIGH	Walter Raleigh, your majesty. your voyage. What's your rank? RALEIGH A gentleman of Devon.
F	ELIZABETH	What do you want?
M	RALEIGH	The honour to be in the presence of my Queen, whose radiant beauty is the boast and glory of the English people.
F	ELIZABETH	Yes, well, here you are.
M	ALEIGH	I'm just returned from the New World, majesty. I have claimed the fertile coast in your name, and called it Virginia, in honour of our Virgin Queen.
F	ELIZABETH	Virginia? And if I marry? Will you change the name to Conjugia?
M	RALEIGH	I ask for your gracious permission, majesty, to return to the New World with your royal warrant, to found a colony under the laws and protections of England.
M		lizabeth's eye has fallen on the native Americans.
F	ELIZABETH	Who are they?
M	RALEIGH	Americans, majesty. They long to be your newest subjects.
F	ELIZABETH	Have they no ruler of their own?
M	RALEIGH	None to match England's Queen.
F	ELIZABETH	These gentlemen are welcome. See that they're treated well.
M	RALEIGH	I also come bearing gifts for your majesty, from the New World.
M	DON GUERAU	The fruits of piracy, majesty. The true property of the realm of Spain.
F	ELIZABETH	Let's see, shall we? What do you bring me?
M	RALEIGH	Mud, and leaves. May 1 Blue Draft - p.22
F	ELIZABETH	Mud and leaves?
M	RALEIGH	Patata, majesty. You eat it. Very nourishing.
M	ALEIGH	Tobacco. You breathe its smoke. Very stimulating.
M	DON GUERAU	Forgive me, majesty, I find the air has become stale. I am sensitive to the smell of open sewers.
F	ELIZABETH	Continue.
M	RALEIGH	Gold. You spend it. Very satisfying.
M	RALEIGH	Courtesy of a Spanish ship, that found itself unable to complete its journey.
F	ELIZABETH	The fruits of piracy after all, it seems.
M	RALEIGH	Philip of Spain is no friend of England, majesty. The more gold I take from him, the safer you will be.
F	ELIZABETH	Well, well. A political pirate. A logic-chopping pirate.
M	RALEIGH	And your majesty's most loyal subject.
F	ELIZABETH	But not my best dressed. elcome home, Mr Raleigh. Raleigh comes out into the hallway with Calley by his side. What did you think of her?
M	CALLEY	Terrifying. RALEIGH But magnificent. He moves on. The doors to the privy chamber open and the Queen's ladies
F	MARGARET	`Mud and leaves'! I nearly died! B
M	ESS	`Patata! You eat it!'
F	MARGARET	She liked him. I could tell.
F	BESS	Well, wouldn't you?
M	RALEIGH	I'm glad to have the opportunity to thank you. Without your help, I'd still be in outer darkness.
F	BESS	I did very little, sir. You'd already caught the Queen's eye.
M	RALEIGH	Then I thank you for the very little.
M	AVAGE	Salve regina, mater misericordiae, vita dulcedo et spes nostra salve... His weakness endangers us all. He can't go on with us. And we can't leave him behind.
M	RESTON	Who will help him?
M	SAVAGE	Ad te clamamus, exsulaes filii Evae. Ad te suspiramus gementes et flentes in hac lacrimarum valle -
M	BABINGTON	Make your peace with God.
M	SAVAGE	No, Tom! Don't kill me! I don't want to die!
M	RESTON	Si ambulam in medio umbrae mortis, non timebo mala -
M	RESTON AND OTHERS	Quoniam tu mecum es, Domine. Virga tua et baculus tuus, ipsa me consolata sunt - ANG! Savage falls dead. May 1 Blue Draft - p.26 Walsingham enters his private home, and gives his hat and
M	SERVANT	Visitor waiting, sir. WALSINGHAM WALSINGHAM You look terrible. Don't they feed you in Paris? How are your studies? Learned the secrets of the universe yet?
M	WILLIAM	Not yet.
F	WALSINGHAM	These are dangerous times to be questioning the ways of God. You must take care of yourself.
M	WILLIAM	My needs are simple.
F	WALSINGHAM	You'll dine with us? You'll lodge with us?
M	MARY WALSINGHAM	William!
M	WILLIAM	Look at you! All grown up. May 1 Blue Draft - p.27
F	URSULA	William. This is a pleasure.
M	WILLIAM	I've been away too long, ma'am.
M	MARY WALSINGHAM	You come with me, William. U RSULA He's not still a student, is he? William is by the fire, listening to Mary playing the
F	URSULA	Have you spoken to the Queen?
F	WALSINGHAM	I speak to her daily.
F	URSULA	You know what I mean. You've done enough. No man could do more.
F	WALSINGHAM	I can't leave court yet. The Queen needs me.
F	URSULA	So you're to die in harness like a pack horse, are you? And for what? Mary! William! WALSINGHAM These are difficult times- URSULA It's always difficult times. Mary joins them, her arm in William's. Walsingham seizes
F	WALSINGHAM	William, come and tell us all the new ideas in the University. Will the great breach in the church ever be healed?
M	WILLIAM	doubt it, brother. Compromise out of fashion. On both sides say there can only be one and one God. URSULA sit.
F	MARY	
M		ere by me, William.
F	WALSINGHAM	do they say in Paris of the call for holy war? WILLIAM welcome it. URSULA don't understand why we must hate each other.
M	WILLIAM	will always hate falsehood,
F	MARY	do we have to talk about war? us your nice news, William. you married yet?
M	WILLIAM	yet.
F	MARY	we must find you a nice English wife.
M	WILLIAM	no. I won't be staying long. must go back to my studies.
F	WALSINGHAM	too soon, I hope. Every man a rest.
F	URSULA	to him! When did you last I'd like to know? won't listen to me. Not a for his health. You tell he's your brother. He'll die his desk, out of sheer Green Revision May 25 - p.29 Elizabeth sits sumptuously gowned and jewelled at an
M	Your majesty's beauty is dazzling	to my eyes. Your learning is famed throughout Europe. I see before me perfection in human am I to stand in your fabled presence, warmed by your
M	greatness as by the rays of the	sun. Oh Elizabeth! To speak your name is to hear celestial music.
M	May that sweet sound guide me	through my life to come - Elizabeth! Elizabeth! I have illustrious court, in the hope that our two great nations might am bathed in the radiance of your glory, I am overwhelmed. I am great Elizabeth, can restore me to life.
M	C	ourtiers exchange smiles at his efforts. The Spaniards
M	LIZABETH	Your highness does me great honour. Shall we eat our dinner? It should prove almost as restorative as my love.
M	COURT LADY	So tell me, Mr Raleigh, in your sea battles - how do you sink an enemy ship? You shoot holes in its sides, I suppose.
M	RALEIGH	No, ma'am. A sunk ship is of no value. The object is to capture and command.
M	COURT LADY	And how do you do that?
M	RALEIGH	Surprise. Speed. Irresistible violence.
F	ELIZABETH	I think you're not as accustomed as I am to eating in public. I I pretend there's a pane of glass - eine Glasscheibe - between me and them. he moves one hand before her face, indicating an imaginary
F	ELIZABETH	They can see me, but they can't hear me, or touch me. You should try it.
F	ELIZABETH	Bess.
F	ELIZABETH	He interests me. Talk to him.
F	BESS	Him, my lady?
F	ELIZABETH	Him.
F	ELIZABETH	His highness is tired after his journey.
M	ARCHDUKE CHARLES	No man can be tired in the presence of so lovely a Queen.
M		lizabeth speaks so only he can hear, in German.
F	ELIZABETH	young friend. But don't you
M	sometimes feel an overwhelming	desire to say what you're really Archduke's eyes open very wide. He glances at
M	ARCHDUKE CHARLES	
F	ELIZABETH	
M	ARCHDUKE CHARLES	
M	COURT LADY	I adore the natives you brought back with you. I don't suppose you could get one for me? They're not dangerous, are they? RALEIGH That depends what you propose to do with them.
M	COURT LADY	I'd dress him up in mulberry- coloured silk and have him walk behind me, carrying my cloak.
F	BESS	The pirate is not too bored by the vanities of the court, I hope.
M	RALEIGH	A simple sailor, dazzled by the bright lights.
F	BESS	If you can bring yourself to leave the dazzle of the bright lights for a moment -
M	RALEIGH	rawn away by the brightest light of all.
F	BESS	That can only mean the Queen.
M	RALEIGH	I don't presume to raise my eyes so high.
F	BESS	It seems you've presumed after all.
M	RALEIGH	It seems you're determined to think the worst of me.
F	BESS	Tell me what it is you really want.
M	RALEIGH	What every man wants. Money. Fame. Love.
F	BESS	In that order?
M	RALEIGH	Each leads to the next. The money will buy and equip ships for a return voyage to the New World. The success of my infant colony there will make me famous. The fame will bring me love.
F	BESS	It seems rather a long way round.
M	RALEIGH	There are benefits along the way. It is something, after all, to take a blank on the map and build there a shining city.
F	BESS	Which you will no doubt name after yourself.
M	RALEIGH	No doubt. B
M	ESS	Well, then. I am answered.
M	RALEIGH	May I ask a question in return?
F	BESS	Of course.
M	RALEIGH	How am I to win the Queen's favour?
F	BESS	Why should I tell you that, sir?
M	RALEIGH	I've little enough to offer, I know. But whatever I have to give - ask, and it's yours.
F	BESS	My advice to you is, say what you mean to say as plainly as possible. All men flatter the Queen in the hope of advancement. Pay her the compliment of truth.
M	RALEIGH	I don't even know your name.
F	BESS	Elizabeth Throckmorton.
M	RALEIGH	A second Elizabeth.
F	BESS	Everyone calls me Bess. he goes back to the Queen, as Elizabeth is rising to
F	ELIZABETH	His highness the Archduke informs me that my charms overwhelm him. He will retire to his private quarters to rest.
F	ELIZABETH	He's a sweet boy. I don't want him hurt by your schemes. Bess is reading to Elizabeth. Elizabeth watching her, her
F	ELIZABETH	I suspect him of being a professional charmer. Am I right?
F	BESS	He is certainly charming, my lady.
F	ELIZABETH	There are duller professions. And what is it he hopes to gain by his charms?
F	BESS	He hopes for glory in his New World. He dreams of building a shining city. You like him, don't you? BESS It's refreshing to meet a man who looks to a world beyond the court. ELIZABETH So it is. We shall let him come again. Mary Stuart holds her pet dog in her arms, listening to
F	MARY	Dismissed? On whose orders?
F	MARY	Do stop snivelling.
F	ANNETTE	The Warden, my lady.
F	MARY	The Warden? My Warden?
F	MARY	What have you done now, you bad man? Sent away my laundress? How am I to have clean clothes? Or do
M	PAULET	That was not my motive, ma'am.
M	Much though -	Your laundress was found to be Not her job, I think. How am I to send my intimate letters? PAULET Through me. MARY And you will read them.
M	PAULET	With respectful admiration.
F	MARY	Am I to have no privacy? PAULET No. the charm, steel. MARY You disappoint me, sir. May 1 Blue Draft - p. 36
M	PAULET	The Queen orders these measures for your protection. MARY The Queen! Am I not a Queen too? What if I wish to write a love letter? Is Elizabeth to be sent a copy? Is she so starved of lovers that she must feed on mine? PAULET The Queen grieved when your husband died, ma'am. As she grieved when your second husband a possibility of a fourth -
F	MARY	Tormentor! Is that Elizabeth's order too? That you torment and mock me? turns to go, but stops before leaving the room: bitter,
F	MARY	They say she's a beautiful woman. Queen's person.
F	MARY	She's called the virgin queen. Why is that, sir? Can it be that
F	MARY	My friend, forgive me. You are my friend, are you not?
M	PAULET	I am your servant, ma'am, and your admirer.
F	MARY	I shall send no more letters. I shall stay here quietly, in my prison. With you. May 1 Blue Draft - p. 37 The same crowd of petitioners wait in vain for access to Over this we hear Raleigh's voice telling of his adventures: must cross an ocean. Elizabeth listens attentively, her eyes looking far away what it is to cross an ocean? For weeks you see nothing but the and empty. Your ship is small - tiny - a speck in such immensity. Walsingham is talking to Elizabeth about matters of state.
M	RALEIGH (V.O.)	You live with fear, in the grip of fear - fear of storms, fear of sickness on board, fear of the immensity. What if you never escape? How can you escape? There's nowhere to go. So you must drive your fear down, deep into your belly, and study your charts, and watch your compass, and pray for a fair wind - and hope. Now Elizabeth is with Raleigh again, listening as he goes May 1 Blue Draft - p. 38
M	RALEIGH	Pure naked fragile hope, when all your senses scream at you, Lost! Lost! Imagine it. Day after day, staring west, the rising sun on your back, the setting sun in your eyes, hoping, hoping - Sir Christopher Hatton enters.
M	HATTON	Majesty, the Archduke and the court are waiting. ELIZABETH Let them wait! Go on, Mr Raleigh. You were hoping.
M	RALEIGH	At first it's no more than a haze on the horizon, the ghost of a haze, the pure line corrupted. But clouds do that, and storms. So you watch, you watch.
M	RALEIGH (V.O.)	Then it's a smudge, a shadow on the far water. For a day, for another day, the stain slowly spreads along the horizon, and takes form - until on the third day you let yourself believe. You dare to whisper the word - land!
M	RALEIGH	Land. Life. Resurrection. The true adventure. Coming out of the vast unknown, out of the immensity, into safe harbour at last. That - that - is the New World. May 1 Blue Draft - p. 39
M	ELIZABETH (V.O.)	The Queen does not have a private life. Elizabeth is on the throne. The Archduke Charles and his
F	ELIZABETH	The Queen lives for her people. You will therefore forgive me, sir, if after much thought and prayer I decline your offer of marriage.
M	ARCHDUKE CHARLES	
F	ELIZABETH	a hurry to grow old. Youth is so
F	BESS	Well? Are you satisfied with the Queen's favour?
M	RALEIGH	She listened as if she understood me.
M	ESS	Then I shall expect some gratitude. R
M	ALEIGH	What do you want? May 1 Blue Draft - p. 40
F	BESS	I expect I'll think of something.
F	ELIZABETH	Mr. Raleigh. 35A Elizabeth and Raleigh walk together around the perimeter
F	ELIZABETH	I like your immensities. Your ocean is an image of eternity, I think. Such great spaces make us small. Do we discover the New World, Mr Raleigh, or does the New World discover us?
M	RALEIGH	You speak like a true explorer.
F	ELIZABETH	I like you, Mr Raleigh.
M	RALEIGH	And I like you.
F	ELIZABETH	You know, of course, that when I like a man, I reward him.
M	ALEIGH	I have heard that.
F	ELIZABETH	And what have you to say about it? R ALEIGH Reward my mission, majesty, not me.
F	ELIZABETH	Is the mission not the man? RALEIGH Leave me free to like you in return. That can be my reward.
F	ELIZABETH	Go on.
M	RALEIGH	I think it must be hard for so great a Queen to know the simple pleasure of being liked for herself.
F	ELIZABETH	Now you become dull.
M	RALEIGH	Mine!
F	ELIZABETH	You have - the stronger horse.
M	Y RALEIGH	ours carries the lighter load.
F	ELIZABETH	The Queen does not give way to others. Raleigh stops his horse. Elizabeth rides on up to him and
M	RALEIGH	Whoa! Whoa! Forgive me, majesty. My horse doesn't know his place yet Elizabeth looks at him, amused, intrigued.
F	ELIZABETH	Have you ever known your place, Mr. Raleigh? urges her horse forward, forcing Raleigh to catch up. I'm surprised you're not married yet.
M	RALEIGH	I'm a sailor, majesty. ELIZABETH And can sailors not be lovers?
M	RALEIGH	
F	ELIZABETH	Ah, I see. You like love better
M	Your majesty is not eager to be	married?
F	ELIZABETH	When I marry, I marry for my country. When I love, I love for myself.
M	RALEIGH	Some... ELIZABETH You've yet to meet your equal? hesitates. She understands him. RALEIGH I would want someone who knows me as I am. it is Elizabeth who hesitates. He understands her as
F	ELIZABETH	You want a friend, not just an equal. You want someone to share your joy when you're happy. Someone to cry with when you're sad. Someone to talk to when there's nothing to say. Someone to find by your side when you wake in the night. Someone who remembers what you once were, when you've grown old. She turns to him with a smile. Ah yes. I know all about it. There. I'm rested now. She turns her horse around in the direction from which they We can be something to each As they near the courtiers, Raleigh splits off. Bess away. Bess makes her way down the dark palace corridor, stepping Cloaked and hooded, Bess passes quietly down an alley, A man closes the door behind his visitor. Bess shakes off
F	BESS	George! What's wrong? Is your father alright? THROCKMORTON He's old. He won't live long now. Thank you for coming, dear Bess.
F	BESS	I was worried. You must send me no more letters. You know what would happen if I was caught. THROCKMORTON I need your help. BESS Do you need more money? THROCKMORTON My father is a tired old man. We don't want to hide like this to court.
F	BESS	You are known Papists.
M	THROCKMORTON	The Queen loves you. Speak to her.
F	BESS	I cannot betray the Queen.
M	THROCKMORTON	You are not betraying her. My
M	father and I will embrace the new	faith. is suspicious and starts to leave. BESS Don't put me in danger like this.
M	THROCKMORTON	Cousin Bess, we've known each other all our lives. I would do nothing to harm you. BESS I'm sorry. THROCKMORTON If they catch us, they will kill us. Our lives are in your hands. Double Blue - july 8 - p.43D A group of the Queen's ladies make their way down the Bess hurries ahead of the others through the Privy Chamber
M	LIZABETH	Don't tease me, Mr Raleigh. There's nothing I'd like to do more.
M	RALEIGH	So why don't you?
F	ELIZABETH	Alright, then. I will.
F	ELIZABETH	See! You lie! You don't want me on your ship at all. You're a liar! Elizabeth now takes in Bess.
F	ELIZABETH	Would you like to go to sea, Bess?
F	BESS	Majesty?
M	RALEIGH	I'm afraid that's not possible. Women bring bad luck on board ship.
F	ELIZABETH	Oh, do they?
M	RALEIGH	Lock up a hundred men in a space smaller than this room, for months at a time - Men have needs. A beautiful woman like you would drive us all mad.
F	ELIZABETH	Men have needs?
F	ELIZABETH	Then let them stay on land and see to their needs. Mr Raleigh is eager to sail away to his infant colony, Bess. We must persuade him to stay a little longer, mustn't we? 42A Raleigh is leaving. Walsingham has been waiting for him. He WALSINGHAM Mr Raleigh. A word of advice. The Queen chooses to show you favour. You naturally wish to take advantage of that. Don't ask for too much. RALEIGH You think all I want is money.
F	WALSINGHAM	I hope all you want is money.
M	RALEIGH	You think I'm a cynical adventurer, with little breeding and less education. You're wrong. I'm a cynical adventurer with little breeding and an excellent education. WALSINGHAM I begin to see why the Queen likes you. A soft knock on the door. Francis Throckmorton goes to the
M	HROCKMORTON	Bess? 44A-B Multiple images of Elizabeth, naked. Strange misty B ess Throckmorton has the job of holding the Queen's hair
F	ELIZABETH	No, don't stop. I like it.
F	ELIZABETH	Is it true, Bess? That I've never known the simple pleasure of being liked for myself?
F	BESS	I hope you believe that I like you for yourself, my lady. ELIZABETH Is anybody ever liked just for themselves? Are you? I doubt it. Men like you because you're pretty. And because you have the ear of the Queen. May 1 Blue Draft - p. 50
F	BESS	No doubt, my lady.
F	ELIZABETH	Him too. He likes you because he wants my favour. You do realise that?
F	BESS	Yes, my lady.
F	ELIZABETH	And the other thing too, of course. But all men want that. Male desire confers no B distinction.
M	LIZABETH	I envy you, Bess. You're free to have - what I can't have. You're my adventurer. Don't be afraid. It's all over so soon.
F	WALSINGHAM	Still nothing to tell me, Mr Throckmorton? T HROCKMORTON My soul will go free soon.
F	WALSINGHAM	I know about the Enterprise. I need names. But if you won't help me, perhaps your father will.
F	WALSINGHAM	He's been questioned, as you have. I do have to know, you see.
M	THROCKMORTON	No!
M	THROCKMORTON	Enough! You want a name, I'll give you a name.
F	WALSINGHAM	Well? 46A 46B Elizabeth passes down a hallway at a brisk pace, Hatton by HATTON Another letter has come from Mary Stuart, majesty. Asking to meet you.
F	ELIZABETH	Filled with declarations of love?
M	HATTON	As always.
F	ELIZABETH	If she wants my love, let her deserve it. Refused. Elizabeth enters her private quarters, now moving with
F	ELIZABETH	Mr Raleigh. I've kept you waiting.
M	RALEIGH	You have more important concerns
F	ELIZABETH	There is always other business. But I have been waiting too. Walsingham enters.
F	WALSINGHAM	Majesty.
F	ELIZABETH	Yes, Walsingham?
F	WALSINGHAM	The traitor has talked, majesty. The traitor Throckmorton.
F	ELIZABETH	Forgive me, sir. As you see, my time is not my own. May 1 Blue Draft 28 June - p. 53 The torturer, now off duty, is standing in the open doorway T ORTURER Harry?
M	TORTURER	You'll never guess what I heard - Now there are guards everywhere. The whole palace is on
F	ELIZABETH	What do you know of the Enterprise of England, Ambassador?
M	DON GUERAU	The Enterprise...? Forgive me, your majesty...
F	ELIZABETH	It's a plan for the invasion of my country. Two armies landing on the coasts of Sussex and -
F	WALSINGHAM	Norfolk.
F	ELIZABETH	And Norfolk. Mary Stuart is to be set free, and placed on the English throne. I am to be assassinated. Does any of this sound familiar?
M	DON GUERAU	I know nothing of any invasion plans.
F	ELIZABETH	I refer to this plan as the Enterprise of England. It should more accurately be called `la Empresa di Inglaterra', because it's a Spanish plan. The plan of your king, my one-time brother-in- law, Philip II, to attack my country.
