M	CHARACTER	DIALOGUE
M	LOUIS	That's him. Cecil Dobbs. Points to-- DOBBS, balding dignified WASP, a few rows in.
M	MICK	Is he ready to post bail?
M	LOUIS	He'll do whatever he has to. Mick nods, noting the tinge of desperation in Louis's voice.
M	MICK	Okay, tell me about yourself. How old are you?
M	LOUIS	Thirty-two...
M	MICK	Ties to the community? You grow up here, go to school?
M	LOUIS	Both. Beverly Hills, UCLA. I work for my mother's business...
M	MICK	"Windsor Estates?"
M	LOUIS	It's named for her second husband.
M	MICK	How much did you make last year? If I'm going to get you out I need to know everything.
M	LOUIS	My taxes last year said four hundred thousand. Just then, the White Junkie lurches forward towards Mick--
M	JUNKIE	I want a lawyer too, you got a card?
M	MICK	They'll have one for you out there. I need you to back up and leave us alone. Can you do that, pal? Junkie backs off, does just what Mick says. Impressing Louis.
M	MICK (CONT'D)	Listen. They've put some heavy charges on you. The DA will probably ask for No-Bail...
M	LOUIS	No bail? Frightened voice, the others react, Mick hushes him, and...
M	MICK	I said they're going to ask it. When was the last time you were arrested?
M	LOUIS	Never.
M	MICK	So if I checked your record--
M	LOUIS	--you'd find parking tickets. Mick looks briefly into the younger man's eyes-- he's scared,
M	LOUIS (CONT'D)	This whole thing is--
M	MICK	We're not talking about the case, remember? Not even to the judge.
M	LOUIS	Don't I even say "Not guilty?"
M	MICK	Today's about setting arraignment, period. You say nothing.
M	LOUIS	Are you going to get me out?
M	MICK	I'm gonna try, Louis. One more thing: There are lots of lawyers. Why pick me?
M	LOUIS	I.. remembered your name from some case in the papers...
M	MICK	What case?
M	LOUIS	A drug case, I don't know.
M	MICK	You remember the name or anything?
M	LOUIS	No-- but you got the evidence thrown out against some guy-- Does it matter? I need your help, Mr. Haller. Off Mick, GO TO,
M	MICK	Are you the prosecutor who used to have the Roulet case? She starts to smile-- until his emphasis registers.
F	MAGGIE	Don't tell me. Son of a bitch, Haller.
M	MICK	Rules are rules.
F	MAGGIE	I wanted this one... Alright I'll go quietly. But after today's hearing, if you don't object.
M	MICK	Depends. You going for no-bail?
F	MAGGIE	That won't change with the prosecutor. Not with what your guy did. With which she shows him the photo: gruesome.
M	MICK	If he did it.
F	MAGGIE	Sure. "If." They only picked him up in her home with blood all over him, but it's a valid question...
M	MICK	I love it when you're sarcastic. Can I at least see the arrest report?
F	MAGGIE	Get it from whoever takes over. No favors on this one. Mick looks admiringly at Maggie. At her passion.
M	MICK	How's Hayley? A beat. Off the sudden shift in topic, Maggie starts putting
