M	MALE VOICE (O.S.)	Don't take it personally, Miranda.
M	DAGGETT	Everyone knows Wayne's holed up in there with eight-inch nails, peeing into Mason jars. (To Alfred.) Good of you to let me on the grounds.
M	ALFRED	The Dent Act is about all Gotham. Even you, Mr. Daggett. Miss Tate, always a pleasure. Alfred turns and walks off. Daggett smiles, glib.
M	DAGGETT	Why waste your time talking to the man who threw away your investment on some save-the-world vanity project? He can't help you get your money back. But I can.
F	MIRANDA	I could try explaining that a save-the-world project, vain or not, is worth investing in, whatever the return. I could try, Mr. Daggett, but you understand only money and the power you think it buys, so why waste my time, indeed?
M	MAID	I'm, I'm terribly sorry, Mr. Wayne. It is Mr. Wayne, isn't it?
M	MAID	Although you don't have the long nails... (Nervous laugh.) Or facial scars... She trails off, embarrassed. Coy. She seems very young.
M	WAYNE	Is that what they say about me?
M	MAID	It's just that...nobody sees you...
M	WAYNE	That's a beautiful necklace. Reminds me of the one that belonged to my mother. It can't be the same one - her pearls are in this safe - He reaches out with his cane to press open a panel on the - which the manufacturer clearly explained is uncrackable.
M	MAID	Oops. No one told me it was uncrackable.
M	WAYNE	I'm afraid I can't let you take those.
M	MAID	Look, you wouldn't hit a woman any more than I would beat up a cripple. She kicks his cane from under him, smashes him down. have to be made. She flips backwards through the window. Wayne smiles, then
M	MAID	Can I have a ride? The Congressman, a little tipsy, looks at her hungrily.
M	CONGRESSMAN	You read my mind.
M	ALFRED	Miss Tate was asking to see you again.
M	WAYNE	She's very persistent.
M	ALFRED	And quite lovely, in case you were wondering.
M	WAYNE	I wasn't.
M	ALFRED	What are you doing?
M	WAYNE	Examining print dust. We've been robbed.
M	ALFRED	And this is your idea of raising the alarm? She took the pearls. Tracking device and all.
M	ALFRED	She?
M	WAYNE	One of the maids, perhaps you should stop letting them in this side of the house. Perhaps you should learn to make your own bed, then. Why are you dusting for prints?
M	WAYNE	I'm not. She was.
M	YOUNG VOICE (O.S.)	Sir?
M	BLAKE	I didn't want to bother you up here, but they're looking for you.
F	GORDON	What's the problem, son?
M	BLAKE	Congressman Gilly's wife's been calling. He hasn't made it home from the Wayne Foundation event.
F	GORDON	That's a job for the police?
M	BLAKE	Sir, I've been a cop for a year and I've only logged half a dozen arrests. When you and Dent cleaned the streets you cleaned 'em good. Pretty soon we'll be chasing overdue library books. Gordon smiles at this. Blake looks at his stack of files.
M	BLAKE	But here you are. Like we're still at war...
F	GORDON	Old habits.
M	BLAKE	Or instinct.
F	GORDON	What's your name, son?
M	BLAKE	Blake, sir.
F	GORDON	You have something you want to ask me, Officer Blake?
M	BLAKE	It's that night. This night, eight years ago. The night Dent died.
F	GORDON	What about it?
M	BLAKE	The last confirmed sighting of the Batman. He murders those people, takes out two SWAT teams, breaks Dent's neck...then just vanishes?
F	GORDON	I'm not hearing a question, son.
M	BLAKE	Don't you want to know who we was? Gordon turns to look at the broken searchlight. He brushes
F	GORDON	I know exactly who he was. (Turns to Blake.) He was Batman.
M	GORDON (O.S.)	Let's go see about the Congressman's wife...
M	ALFRED	Master Wayne? Alfred's voice echoes through the vast mansion. No reply.
M	ALFRED	You haven't been down here in a long time...
M	WAYNE	Just trying to find out more about our jewel thief. I ran her prints from the photos she handled - Wayne pulls up a mug shot - a fat, male armed-robbery - but she was wearing someone else's fingerprints. She's good.
M	ALFRED	She may be. But we have the trace on the necklace.
M	WAYNE	We do, so I cross-referenced the address she went back to with police data on high-end B-and-E's... of close calls, tips from fences...
M	WAYNE	She's good, but the ground is shrinking beneath her feet.
M	ALFRED	We should send the police before she fences the pearls.
M	WAYNE	She won't. She likes them too much. And they weren't what she was after.
M	ALFRED	What was she after?
M	WAYNE	My fingerprints. There was printer toner mixed with graphite on the safe. Gives you a good pull, and it's untraceable.
M	ALFRED	Fascinating. Maybe you should exchange notes over coffee.
M	WAYNE	Now you're trying to set me up with a jewel thief?
M	ALFRED	At this point, sir, I would set you up with a chimpanzee if I thought it would bring you back into the world.
M	WAYNE	There's nothing out there for me.
M	ALFRED	And that's the problem. You hung up the cape and cowl, but never moved on. You won't get out there and find a life. Find someone - I did find someone, Alfred.
